STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,Description,Facility Carried,Bridge Location,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,Year Built,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,FED_AGENCY,STATUS,Sufficiency Rating,Map Location
100214002302141,1,8,0,C3009,1,3,69775,'ROARING BROOK           ','  C3009           ','@ JCT W CL3 TH12         ',99.99,0,0,,,42455900,73045200,159,3,3,3,9,1997,2,0,68,2007,9,7,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,1,0,0,1,0,6.8,10.7,11.3,0,0,6.8,7.1,99.99,N,0,N,0,0,8,8,8,7,N,1,89.1,1,54.9,8,5,N,5,8,7,,,,411,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,1,0,0,1,2,0,,Y,8,102,2027,N,0,93.5,"(42455900, 73045200)"
100215000302151,1,8,0,C2002,1,3,71425,'VERMONT RAILWAY         ','  C2002           ','0.1 MI JCT TH 2 & TH 1   ',99.99,0,0,,,43063100,73071000,8,3,1,1,9,1991,2,0,810,2008,9,8.5,0,9,0,1,1,1,1,5,N,0,0,A,1,2,3,19,0,0,1,0,8.5,9.1,14,0,0,0,0,99.99,R,6.96,R,4.9,0,N,N,N,N,7,5,54,5,32.4,7,N,6,5,N,8,,,,810,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,N,N,N,N,6,0,,Y,N,1215,2028,N,0,99.7,"(43063100, 73071000)"
100215000502151,1,8,0,C2002,1,3,71425,'BATTEN KILL RIVER       ','  C2002           ','0.1 MI JCT RT 7 & TH 2   ',99.99,0,0,,,43065500,73071400,8,3,3,3,9,1951,2,0,810,2008,2,7.3,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,7.5,29.6,30.2,0.1,0.1,7.5,7.8,99.99,N,0,N,0,0,5,6,7,8,N,2,38.700000000000003,2,17.100000000000001,4,4,N,5,7,8,35,1,30.2,810,24,N  ,N  ,N  ,,,,509,35,544,2011,0,N,2,,0,0,0,1,6,0,0,2,0,,Y,8,1215,2028,N,0,58.2,"(43065500, 73071400)"
100215001102151,1,8,0,C3004,1,3,71425,'MILL BROOK              ','  C4004           ','JCT TH 4 & TH 8          ',99.99,0,0,,,43064100,73060900,8,3,3,3,9,1961,1,0,50,2008,2,4.6,0,0,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,4.4,8.5,9.1,0.1,0.1,4.4,4.8,99.99,N,0,N,0,0,7,7,7,7,N,2,37.799999999999997,2,23.4,6,6,N,5,6,8,35,1,9.1,810,24,Y24,N  ,N  ,810,,,95,35,130,2011,0,N,3,,0,0,0,1,6,0,0,2,0,,Y,8,75,2028,N,0,77.400000000000006,"(43064100, 73060900)"
100216000402161,1,8,0,C3004,1,3,85075,'COOK BROOK              ','  C2003           ','0.02 MI TO JCT W CL2 TH2 ',99.99,0,0,,,43115400,72515200,23,3,3,3,9,1978,2,0,150,2008,4,6.7,0,0,0,0,0,0,1,5,0,0,0,A,1,5,1,1,0,0,1,0,7.3,6.4,7,0,0,7.3,7.9,99.99,N,0,N,0,0,7,7,7,6,N,1,80.099999999999994,1,47.7,7,5,N,5,6,6,,,,510,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,1,6,0,0,2,0,,Y,8,225,2028,N,0,92.3,"(43115400, 72515200)"
100216000502161,1,8,0,C2002,1,3,85075,'MILL BROOK              ','  C2002           ','0.25 MI TO JCT W C3 TH36 ',99.99,0,0,,,43101500,72532700,13,3,3,3,9,1937,2,0,230,2008,5,7,0,0,0,0,0,1,1,5,0,0,0,A,1,5,1,4,0,0,1,0,6.3,15.8,16.5,0.2,0.2,6.3,7.1,99.99,N,0,N,0,0,7,7,7,6,N,2,49.5,2,25.2,6,4,N,5,7,7,35,1,16.5,510,24,N  ,N  ,N  ,,,,253,35,288,2011,0,N,2,,0,0,0,1,6,0,0,2,0,,Y,8,345,2028,N,0,75.5,"(43101500, 72532700)"
100216001702161,1,8,0,C3003,1,3,85075,'WINHALL RIVER           ','  C3003           ','0.05 MI TO JCT W VT30    ',99.99,0,0,,,43084300,72534700,5,3,3,3,9,1919,1,0,150,2008,0,4.3,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,4.1,21.3,22.6,0.2,0.2,4.1,4.3,99.99,N,0,N,0,0,7,6,6,8,N,2,14.4,2,6.3,2,2,N,5,6,3,31,1,29.3,510,24,N  ,N  ,N  ,,,,270,150,420,2011,0,N,1,,0,0,1969,8,7,0,7,2,0,,Y,U,225,2028,N,1,29.4,"(43084300, 72534700)"
100217000202171,1,8,0,C3001,1,3,85675,'HELL HOLLOW BROOK       ','  C3001           ','1.4 MI N JCT RT9 & TH1   ',99.99,0,0,,,42543700,73065800,159,3,3,3,9,1934,2,0,40,2007,4,5.8,0,0,0,0,0,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,4.9,14.6,15.5,0,0,4.9,6.2,99.99,N,0,N,0,0,7,6,6,6,N,2,23.4,2,12.6,4,3,N,5,7,8,31,1,21.6,511,24,N  ,N  ,N  ,,,,287,150,437,2011,0,N,2,,0,0,1975,8,7,0,7,2,0,,Y,7,60,2027,N,2,46.2,"(42543700, 73065800)"
100217000302171,1,8,0,C3001,1,3,85675,'ROARING BRANCH          ','  C3001           ','1.3 MI N JCT RT9 & TH1   ',99.99,0,0,,,42543200,73070900,159,3,3,3,9,1919,2,0,140,2007,4,6.4,0,25,0,1,1,1,1,5,0,0,0,A,1,5,4,2,0,0,2,0,4.9,18.3,25.3,0,0,4.9,6,99.99,N,0,N,0,0,8,6,7,6,N,2,26.1,2,16.2,5,2,N,5,6,8,35,1,25.3,511,24,N  ,N  ,N  ,,,,329,35,364,2011,0,N,2,,0,0,1985,8,7,0,7,2,0,,Y,8,210,2027,N,2,51.8,"(42543200, 73070900)"
100217000402171,1,8,0,C3001,1,3,85675,'ROARING BRANCH          ','  C3001           ','0.4 MI N JCT RT9 & TH1   ',99.99,0,0,,,42540700,73072700,159,3,3,3,9,1985,2,0,130,2007,5,7,0,40,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,6.9,22.6,23.5,0.1,0.1,6.9,7.8,99.99,N,0,N,0,0,8,8,8,7,N,2,66.599999999999994,2,34.200000000000003,8,4,N,5,8,8,,,,511,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,1,0,0,0,2,0,,Y,8,195,2027,N,0,84.4,"(42540700, 73072700)"
100217000502171,1,8,0,C3001,1,3,85675,'CITY STREAM             ','  C3001           ','0.1 MI TO JCT W VT9      ',99.99,0,0,,,42535000,73074000,159,3,3,3,9,1923,2,0,170,2007,2,7,0,0,0,0,0,1,1,5,0,0,0,A,1,5,3,3,0,0,1,0,6.2,25,26.2,0.1,0.1,6.2,6.4,99.99,N,0,N,0,0,6,6,6,7,N,2,37.799999999999997,2,17.100000000000001,5,4,N,5,6,8,35,1,26.2,511,24,Y24,N  ,N  ,511,,,361,35,396,2011,0,N,2,,0,0,1939,1,6,0,0,2,0,,Y,8,255,2027,N,0,54.3,"(42535000, 73074000)"
100217000902171,1,8,0,C3004,1,3,85675,'STAMFORD STREAM         ','  C3004           ','0.35 MI TO JCT W VT9     ',99.99,0,0,,,42523800,73070000,159,3,3,3,9,1919,2,0,10,2007,0,6.7,0,0,0,1,0,0,0,5,0,0,0,A,1,5,1,4,0,0,1,0,6.5,13.7,14.9,0,0,6.5,7.7,99.99,N,0,N,0,0,6,7,7,6,N,5,54,5,32.4,7,5,N,5,6,8,,,,511,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,1,6,2,0,2,0,,Y,U,15,2027,N,0,91.9,"(42523800, 73070000)"
100301000503011,1,8,0,C2002,7,5,2875,'PEACHAM HOLLOW BROOK    ','  C2002           ','0.15 MI TO JCT W C3 TH61 ',99.99,0,0,,,44190600,72065500,5,3,3,3,9,1949,2,0,400,2008,2,7.9,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,7.7,14.3,14.9,0.1,0.1,7.7,7.9,99.99,N,0,N,0,0,8,8,8,7,N,1,27.9,1,16.2,5,5,N,5,7,8,35,1,14.9,610,24,N  ,N  ,N  ,,,,255,35,290,2011,0,N,2,,0,0,0,1,8,0,0,2,0,,Y,7,600,2028,N,0,67.599999999999994,"(44190600, 72065500)"
100301001103011,1,8,0,C2008,7,5,2875,'STEVENS RIVER           ','  C2008           ','0.04 MI TO JCT W US5     ',99.99,0,0,,,44174700,72030000,0,3,3,3,9,1948,2,0,870,1998,9,7.3,0,5,0,1,1,1,1,5,0,0,0,A,5,5,4,2,0,0,2,0,9.199999999999999,28.7,29.3,1.5,0.3,9.199999999999999,11.6,99.99,N,0,N,0,0,8,8,7,8,N,1,89.1,1,63.9,7,6,N,5,7,8,,,,610,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,2002,1,6,2,1,2,0,,Y,8,1218,2018,N,0,96.3,"(44174700, 72030000)"
100301003703011,1,8,0,C3074,7,5,2875,'SO. PEACHAM BROOK       ','  C2010           ','0.1 MI TO JCT W CL2 TH1  ',99.99,0,0,,,44182500,72083000,3,3,3,3,9,1948,2,0,200,2008,5,7.3,0,6,0,0,1,1,1,5,0,0,0,A,1,5,1,1,0,0,1,0,7.4,8.5,9.1,0,0,7.4,8,99.99,N,0,N,0,0,8,8,6,6,N,1,28.8,1,17.100000000000001,5,5,N,5,6,8,35,1,9.1,610,24,N  ,N  ,N  ,,,,157,35,192,2011,0,N,2,,0,0,1982,1,6,0,0,2,0,,Y,3,300,2028,N,0,74,"(44182500, 72083000)"
100301003903011,1,8,0,C3048,7,5,2875,'PEACHAM HOLLOW BROOK    ','  C3048           ','0.1 MI TO JCT W CL2 TH1  ',99.99,0,0,,,44185400,72063100,5,3,3,3,9,1919,2,0,150,2008,2,6.1,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,5.7,7.3,7.9,0,0,5.7,6.2,99.99,N,0,N,0,0,6,7,7,8,N,5,54,5,32.4,7,3,N,5,7,8,35,1,7.9,610,24,N  ,N  ,N  ,,,,107,35,142,2011,0,N,2,,0,0,0,1,0,0,0,2,0,,Y,8,225,2028,N,2,78,"(44185400, 72063100)"
100301004003011,1,8,0,C3029,7,5,2875,'JOES BROOK              ','  C3029           ','0.04 MI TO JCT W CL2 TH5 ',99.99,0,0,,,44203100,72032000,159,3,3,3,9,1929,1,0,20,2008,1,4.3,0,0,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,4.5,11.3,12.2,0,0,4.5,4.9,99.99,N,0,N,0,0,8,7,8,8,N,2,36,2,24.3,6,6,N,5,6,8,35,1,12.2,610,24,N  ,N  ,N  ,,,,128,35,163,2011,0,N,3,,0,0,1998,8,7,0,7,2,0,,Y,8,30,2028,N,0,74.8,"(44203100, 72032000)"
100301004103011,1,8,0,C3099,7,5,2875,'STEVENS RIVER           ','  C3099           ','0.04 MI TO JCT W TH100   ',99.99,0,0,,,44174100,72030300,2,3,3,3,9,1919,2,0,125,2008,2,6.7,0,25,0,0,1,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,6,10.4,11.3,0,0,6,6.7,99.99,N,0,N,0,0,6,6,6,5,N,1,18.899999999999999,1,10.8,4,3,N,5,6,8,31,1,18,610,24,N  ,N  ,N  ,,,,258,150,408,2011,0,N,2,,0,0,1944,1,6,0,0,2,0,,Y,3,187,2028,N,2,46.3,"(44174100, 72030300)"
100301004203011,1,8,0,C3081,7,5,2875,'SOUTH PEACHAM BROOK     ','  C3081           ','0.04 MI TO JCT W CL2 TH1 ',99.99,0,0,,,44183800,72081100,6,3,3,3,9,1926,2,0,150,2008,0,6.4,0,15,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,5.7,7.6,8.800000000000001,0,0,5.7,5.9,99.99,N,0,N,0,0,4,5,6,8,N,1,24.3,1,14.4,4,3,N,5,6,6,31,1,15.8,610,24,N  ,N  ,N  ,,,,200,150,350,2011,0,N,2,,0,0,0,1,6,0,0,2,0,,Y,8,225,2028,N,1,41,"(44183800, 72081100)"
100301004303011,1,8,0,C3026,7,5,2875,'JOES BROOK              ','  C3026           ','0.05 MI TO JCT W CL2 TH5 ',99.99,0,0,,,44205300,72035600,10,3,3,3,9,1997,2,0,80,2008,9,6.7,0,0,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,6.4,18,18.600000000000001,0.1,0.1,6.4,7.2,99.99,N,0,N,0,0,8,8,8,8,N,1,89.1,1,54,8,5,N,5,7,8,,,,710,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,1,0,0,1,2,0,,Y,8,120,2028,N,0,99,"(44205300, 72035600)"
100301004403011,1,8,0,C3056,7,5,2875,'STEVENS RIVER           ','  C3056           ','0.1 MI TO JCT W CL2 TH1  ',99.99,0,0,,,44180800,72035700,159,3,3,3,9,1919,1,0,100,2008,2,5.5,0,10,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,4.3,10.4,11,0,0,4.3,4.8,99.99,N,0,N,0,0,6,7,6,6,N,5,54,5,32.4,6,6,N,5,6,8,35,1,11,610,24,N  ,N  ,N  ,,,,114,35,149,2011,0,N,1,,0,0,0,1,0,0,0,2,0,,Y,U,150,2028,N,0,79.099999999999994,"(44180800, 72035700)"
100301004503011,1,8,0,C3007,7,5,2875,'STEVENS RIVER           ','  C2009           ','0.01 MI TO JCT W CL2 TH1 ',99.99,0,0,,,44183400,72052500,5,3,3,3,9,1988,2,0,300,2008,5,8.5,0,19,0,1,1,1,1,5,0,0,0,A,1,5,1,1,0,0,1,0,6.9,10.4,11.3,0.2,0.2,6.9,7.7,99.99,N,0,N,0,0,8,8,7,8,N,2,72.900000000000006,2,38.700000000000003,7,4,N,5,8,8,,,,610,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,1,6,2,0,2,0,,Y,7,450,2028,N,0,82.9,"(44183400, 72052500)"
100301004603011,1,8,0,C3061,7,5,2875,'PEACHAM HOLLOW BROOK    ','  C3061           ','0.03 MI TO JCT W CL2 TH2 ',99.99,0,0,,,44191200,72070600,5,3,3,3,9,1928,1,0,100,2008,2,5.5,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,4.1,8.199999999999999,8.800000000000001,0,0,4.1,4.4,99.99,N,0,N,0,0,6,5,6,5,N,2,60.3,2,38.700000000000003,5,5,N,5,5,8,35,1,8.800000000000001,610,24,N  ,N  ,N  ,,,,83,35,118,2011,0,N,3,,0,0,1949,1,0,0,0,2,0,,Y,3,150,2028,N,0,69,"(44191200, 72070600)"
100301004703011,1,8,0,C3057,7,5,2875,'STEVENS RIVER           ','  C3057           ','0.15 MI TO JCT W CL2 TH1 ',99.99,0,0,,,44180700,72033200,3,3,3,3,9,1936,1,0,50,2008,2,6.7,0,15,0,0,0,0,0,5,0,0,0,A,1,5,4,2,0,0,2,0,4.7,12.8,24.1,0.1,0.1,4.7,4.8,99.99,N,0,N,0,0,6,6,6,8,N,1,18.899999999999999,1,10.8,4,7,N,5,8,5,31,1,31.4,610,24,N  ,N  ,N  ,,,,321,150,471,2011,0,N,3,,0,0,0,1,0,0,0,2,0,,Y,8,75,2028,N,0,49.3,"(44180700, 72033200)"
100301004803011,1,8,0,C3011,7,5,2875,'PASSUMPSIC RIVER        ','  C3011           ','0.2 MI E JCT US RTE 5    ',4.52,0,0,,,44223000,72013200,11,3,3,3,9,1928,2,0,650,2008,4,4.9,0,0,0,0,1,1,1,3,0,0,0,A,1,5,3,10,3,2,1,1,4.9,48.8,63.1,0.2,0.2,4.9,5.2,4.42,N,0,N,0,0,8,7,7,8,N,2,37.799999999999997,2,25.2,6,2,N,5,7,6,35,1,63.1,810,24,Y24,N  ,N  ,810,,,700,35,735,2011,0,N,2,,0,0,1991,8,6,2,7,2,0,,Y,8,975,2028,N,2,69.2,"(44223000, 72013200)"
100301005403011,1,8,0,C2006,7,5,2875,'CONN RIVER LINE RR      ','  C2006           ','0.1 MI TO JCT W US5      ',4.5,0,0,,,44190800,72031300,6,3,3,3,8,1938,2,0,740,1996,9,9.800000000000001,0,0,0,1,1,1,1,5,N,0,0,A,5,7,3,10,0,0,2,0,8.4,79.599999999999994,118.6,0.2,0.2,8.4,8.800000000000001,4.47,R,6.96,R,4,0,8,5,8,8,N,1,81.900000000000006,1,49.5,5,5,5,5,9,8,35,1,118.6,710,24,Y24,N  ,N  ,910,,,2248,35,2283,2011,0,N,2,,0,0,2002,9,5,0,1,3,0,,Y,8,1036,2016,N,0,75.2,"(44190800, 72031300)"
100302001303021,1,8,0,C2008,7,5,10450,'DISH MILL BROOK         ','  C2008           ','0.1 MI JCT TH 8 + TH 7   ',99.99,0,0,,,44351900,71561900,6,3,3,3,8,1928,2,0,200,2008,2,6.4,0,15,0,1,1,1,1,5,0,0,0,A,1,5,1,1,0,0,1,0,6.4,7.9,8.5,0.2,0.2,6.4,7.1,99.99,N,0,N,0,0,8,8,7,8,N,2,22.5,2,9.9,2,4,N,5,7,6,31,1,15.2,610,24,N  ,N  ,N  ,,,,235,150,385,2011,0,N,2,,0,0,1998,1,6,2,1,3,0,,Y,8,300,2028,N,1,47.1,"(44351900, 71561900)"
100302001503021,1,8,0,C3058,7,5,10450,'WEST BR. PASSUMPSIC RIV.','  C3058           ','0.1 MI JCT TH 58 + US 5  ',99.99,0,0,,,44360900,71581400,8,3,3,3,9,1922,2,0,350,2008,2,6.7,0,0,0,1,0,0,0,5,0,0,0,A,1,5,1,4,0,0,1,0,5.4,7.9,9.1,0,0,5.4,6.2,99.99,N,0,N,0,0,7,7,6,4,N,5,54,5,32.4,6,2,N,5,6,7,35,1,9.1,610,24,N  ,N  ,N  ,,,,121,35,156,2011,0,N,2,,0,0,0,1,6,0,0,2,0,,Y,3,525,2028,N,2,78.8,"(44360900, 71581400)"
100302002003021,1,8,0,C3056,7,5,10450,'EAST BR.PASSUMPSIC RIVER','  C3056           ','0.1 MI JCT TH 56 + VT114 ',99.99,0,0,,,44380300,71535200,159,3,3,3,9,2006,1,0,20,2008,9,3.7,0,0,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,4.8,13.4,14,0,0,4.8,4.9,99.99,N,0,N,0,0,8,8,7,7,N,1,81.900000000000006,1,49.5,7,8,N,5,6,8,,,,610,24,N  ,N  ,N  ,,,,,,,,0,N,3,,0,0,0,6,6,0,0,2,0,,Y,3,30,2028,N,0,86.1,"(44380300, 71535200)"
100302002503021,1,8,0,C3039,7,5,10450,'EAST BR.PASSUMPSIC RIVER','  C3039           ','0.1 MI JCT TH 39 + VT114 ',99.99,0,0,,,44363600,71545900,8,3,3,3,9,1998,2,0,180,1996,9,6.7,0,25,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,6.5,22.6,23.2,0.1,0.1,6.5,7.2,99.99,N,0,N,0,0,8,8,8,8,N,1,89.1,1,89.1,8,4,N,5,8,8,,,,610,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,1,6,2,1,2,0,,Y,8,252,2016,N,0,87.4,"(44363600, 71545900)"
100302003103021,1,8,0,C3013,7,5,10450,'ROUNDY BROOK            ','  C3013           ','0.5 MI JCT TH 13 + TH 29 ',99.99,0,0,,,44373700,71563700,8,3,3,3,9,1928,2,0,100,2008,2,6.1,0,45,0,0,0,0,0,5,0,0,0,A,1,5,1,1,0,0,1,0,5.1,6.1,7.6,0,0,5.1,5.9,99.99,N,0,N,0,0,8,8,7,6,N,5,54,5,32.4,7,3,N,5,6,8,,,,610,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,1,8,0,0,2,0,,Y,8,150,2028,N,2,80.5,"(44373700, 71563700)"
100302003203021,1,8,0,C3044,7,5,10450,'ROUNDY BROOK            ','  C3044           ','0.6 MI JCT TH 44 + US 5  ',99.99,0,0,,,44363300,71573700,8,3,3,3,9,1929,1,0,250,2008,2,7.3,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,3,0,0,1,0,4.5,11.9,13.1,0,0,4.5,5.3,99.99,N,0,N,0,0,6,5,6,6,N,2,19.8,2,12.6,4,2,N,5,6,5,31,1,21,610,24,Y24,N  ,N  ,610,,,240,150,390,2011,0,N,3,,0,0,0,1,8,0,0,2,0,,Y,3,375,2028,N,2,39,"(44363300, 71573700)"
100302003303021,1,8,0,C3013,7,5,10450,'ROUNDY BROOK            ','  C3013           ','0.6 MI JCT TH 13 + TH 29 ',99.99,0,0,,,44374200,71563400,8,3,3,3,9,1928,2,0,100,2008,2,6.7,0,35,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,5,8.199999999999999,9.1,0,0,5,5.9,99.99,N,0,N,0,0,7,6,5,5,N,1,39.6,1,23.4,5,3,N,5,6,7,35,1,9.1,610,24,N  ,N  ,N  ,,,,117,35,152,2011,0,N,2,,0,0,0,1,8,0,0,2,0,,Y,3,150,2028,N,2,60.6,"(44374200, 71563400)"
100302003503021,1,8,0,C3031,7,5,10450,'WEST BR. PASSUMPSIC RIV.','  C3031           ','0.2 MI JCT TH 31 + US 5  ',99.99,0,0,,,44374300,71580000,5,3,3,3,9,1919,1,0,400,2008,1,7.3,0,0,0,0,0,0,0,5,0,0,0,P,1,5,3,3,0,0,1,0,4,12.2,12.8,0,0,4,4,99.99,N,0,N,0,0,5,4,6,6,N,2,13.5,2,8.1,2,2,N,4,5,4,31,1,20.399999999999999,610,24,Y24,N  ,N  ,610,,,177,150,327,2011,0,N,3,,0,0,1951,1,0,0,0,2,0,,Y,2,600,2028,N,1,15.3,"(44374300, 71580000)"
100303000403031,1,8,0,C2001,7,5,17125,'JOES BROOK              ','  C2001           ','0.1 MI JCT TH 74 + TH 1  ',99.99,0,0,,,44224300,72053200,10,3,3,3,8,1949,2,0,300,2007,2,6.7,0,15,0,0,0,0,0,5,0,0,0,A,1,5,1,4,0,0,1,0,7.3,14.3,14.9,0.1,0.1,7.3,8.5,99.99,N,0,N,0,0,7,6,7,7,N,2,53.1,2,29.7,6,5,N,5,7,8,,,,711,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,1,6,0,0,3,0,,Y,4,450,2027,N,0,85.4,"(44224300, 72053200)"
100303002503031,1,8,0,C3061,7,5,17125,'WATER ANDRIC            ','  C3061           ','0.1 MI JCT TH 61 + TH 73 ',99.99,0,0,,,44232300,72034500,11,3,3,3,9,1947,2,0,50,2007,0,5.2,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,1,0,0,1,0,6.2,6.7,7.3,0,0,6.2,6.7,99.99,N,0,N,0,0,7,7,7,6,N,5,54,5,32.4,7,5,N,5,5,6,,,,711,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,1,0,0,0,2,0,,Y,3,75,2027,N,0,95,"(44232300, 72034500)"
100303002703031,1,8,0,C3030,7,5,17125,'HOUGHTON BROOK          ','  C3030           ','0.5 MI JCT TH30 + TH 42  ',99.99,0,0,,,44295600,72061700,2,3,3,3,9,2005,2,0,100,2005,9,7.3,0,22,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,0,1,0,7.5,7.6,7.6,0,0,0,0,99.99,N,0,N,0,0,N,N,N,8,8,5,54,5,32.4,8,N,N,5,8,8,,,,711,24,N  ,N  ,N  ,,,,,,,,0,N,2,,0,0,0,N,N,N,N,5,0,,Y,8,140,2025,N,0,100,"(44295600, 72061700)"
100303002903031,1,8,0,C3060,7,5,17125,'LAMOILLE VALLEY RR      ','  C3060           ','0.1 MI JCT TH 60 + TH 61 ',99.99,0,0,,,44244500,72070100,10,3,1,1,9,1920,1,0,100,2007,0,5.2,0,0,0,0,0,0,0,5,N,0,0,A,1,3,7,2,0,0,1,0,4.4,9.800000000000001,11,0,0,4.4,4.9,99.99,N,0,N,0,0,7,7,7,N,N,2,10.8,2,7.2,2,6,N,4,N,4,31,1,17.7,711,24,N  ,N  ,N  ,,,,186,150,336,2011,0,N,3,,0,0,0,8,7,0,7,2,0,,Y,N,150,2027,N,1,37.700000000000003,"(44244500, 72070100)"
100303003003031,1,8,0,C3065,7,5,17125,'ROY BROOK               ','  C3065           ','0.2 MI JCT TH 65 + TH 2  ',99.99,0,0,,,44264300,72034300,159,3,3,3,9,1952,1,0,100,2007,0,5.8,0,12,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,4.5,6.4,7.3,0.1,0.1,4.5,4.7,99.99,N,0,N,0,0,7,7,7,7,N,5,9,5,9,2,6,N,5,6,8,31,1,13.1,711,24,N  ,N  ,N  ,,,,132,150,282,2011,0,N,3,,0,0,0,1,0,0,0,2,0,,Y,8,150,2027,N,1,42,"(44264300, 72034300)"
