ID,Reporting Agency,Report Number,Date,Street Address,Town,Number,Number1,Number2,Number3,Intersection,Distance From Intersection,Distance Unit,Posted Speed,Direction of Collision,Direction from Intersection,Easting,Northing,Mile Marker,Mile Marker 1,Mile Marker 2,AOT Roadway,AOT Route,AOT Actual Mile,LRS Number,How Mapped,Crash Type,Location 1
6741,VT0060100,12SA01079,03/03/2012,VT-104 Fairfax Rd,St. Albans Town,NO DATA,NO DATA,NO DATA,NO DATA,Upper Welden St,300,Feet,40,1 - Rear End,South,004-54-804,002-55-821,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,1.96,V104-0613,LRS,Property Damage Only,"(44.80138712, -73.07067558)"
6742,VT0060100,12SA06260,11/20/2012,Rt 104,St. Albans Town,NO DATA,NO DATA,NO DATA,NO DATA,Grice Brook,1,Feet,40,1 - Rear End,South,004-54-808E,002-55-807N,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,1.93,V104-0613,LRS,Property Damage Only,"(44.80097705, -73.07087323)"
6743,VT0060100,12SA03753,07/23/2012,Route 104,St. Albans Town,NO DATA,104,NO DATA,NO DATA,Gricebrook Rd,15,Feet,40,1 - Rear End,South,004-54-823E,002-55-794N,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,1.93,V104-0613,LRS,Injury,"(44.80097705, -73.07087323)"
6744,VT0060100,12SA03534,07/12/2012,VT RT 104/Access I-89,St. Albans Town,NO DATA,104,NO DATA,NO DATA,VT RT 104,30,Feet,40,1 - Rear End,East,004-54-671E,002-55-271N,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,1.59,V104-0613,LRS,Property Damage Only,"(44.79635454, -73.07320836)"
6745,VT0060100,12SA00687,02/10/2012,VT-104 (277 Fairfax Rd),St. Albans Town,NO DATA,NO DATA,NO DATA,NO DATA,Interstate Access Rd,50,Feet,40,1 - Rear End,North,004-54-642E,002-55-205N,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,1.59,V104-0613,LRS,Property Damage Only,"(44.79635454, -73.07320836)"
6746,VT0060100,12SA04321,08/08/2012,RT 104,St. Albans Town,NO DATA,NO DATA,NO DATA,NO DATA,Access RD,1,Feet,35,1 - Rear End,South,004-54-626E,002-55-248N,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,1.58,V104-0613,LRS,Property Damage Only,"(44.79621724, -73.07327399)"
6753,VT0060000,12FRC0410,03/07/2012,VT-104 (2993 Main Street),Fairfax,NO DATA,104,NO DATA,NO DATA,Benoit Road,20,Feet,50,1 - Rear End,South,453980,252887,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,13.82,V104-0604,LRS,Injury,"(44.76910437, -73.08219202)"
6754,VTVSP0700,12A200655,02/16/2012,2951 Vt. Rt. 104,Fairfax,NO DATA,104,NO DATA,NO DATA,Oakland Station Road,0,Miles,50,"14 - Left Turn and Thru, Broadside v<--",North,453889,251996,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,13.59,V104-0604,LRS,Injury,"(44.76522628, -73.08194516)"
6755,VTVSP0700,12A205549,11/21/2012,VT Route 104,Fairfax,NO DATA,104,NO DATA,NO DATA,Brick Church Road,300,Feet,50,6 - Single Vehicle Crash,North,456057,250454,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,11.94,V104-0604,LRS,Injury,"(44.75282442, -73.05476062)"
6756,VTVSP0700,12A203474,08/03/2012,VT-104 (2339 Vt 104),Fairfax,NO DATA,104,NO DATA,NO DATA,Brick Church Road,1,Miles,50,4 - Opp Direction Sideswipe,South,456362,249409,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,11.03,V104-0604,LRS,Injury,"(44.74010326, -73.04993167)"
6757,VTVSP0700,12A200355,01/26/2012,VT Route 104,Fairfax,NO DATA,104,NO DATA,NO DATA,Kailburn Road,10,Feet,50,6 - Single Vehicle Crash,South,459522,240698,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,10.37,V104-0604,LRS,Property Damage Only,"(44.73087569, -73.04644986)"
6758,VTVSP0700,12A203954,08/28/2012,VT-104 (1785 Vt 104),Fairfax,NO DATA,104,NO DATA,NO DATA,Ridgeview Road,500,Feet,50,1 - Rear End,South,457475,244990,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,8.42,V104-0604,LRS,Injury,"(44.70372752, -73.03669649)"
6766,VTVSP0700,12A204074,09/04/2012,VT-104 (874 Main Street),Fairfax,NO DATA,104,NO DATA,NO DATA,McNeal Road,500,Feet,40,1 - Rear End,South,301743,242328,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,4.13,V104-0604,LRS,Property Damage Only,"(44.65349530, -73.00059205)"
6767,VT0060000,12FRC2019,11/30/2012,VT-104 Main Street,Fairfax,NO DATA,NO DATA,NO DATA,NO DATA,Pigeon Rd,100,Feet,50,6 - Single Vehicle Crash,East,460677,239311,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,3.9,V104-0604,LRS,Property Damage Only,"(44.65296923, -72.99600036)"
6768,VTVSP0700,12A201200,03/22/2012,VT 104 (818 VT Route 104),Fairfax,NO DATA,104,NO DATA,NO DATA,VT Route 128,1,Miles,40,4 - Opp Direction Sideswipe,East,460631,239318,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,3.9,V104-0604,LRS,Injury,"(44.65296923, -72.99600036)"
6769,VTVSP0700,12A203446,08/02/2012,VT-104 Fairfax Dam,Fairfax,NO DATA,NO DATA,NO DATA,NO DATA,Goose Pond / River Road,NO DATA,NO DATA,50,"10 - Left Turn and Thru, Angle Broadside -->v--",North,461194,238959,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,3.48,V104-0604,LRS,Property Damage Only,"(44.64974587, -72.98918207)"
6770,VTVSP0700,12A201189,03/21/2012,VT-104 (716 Main Street),Fairfax,NO DATA,104,NO DATA,NO DATA,Goose Pond Road,NO DATA,NO DATA,50,6 - Single Vehicle Crash,East,461211,238901,1040,604,340,State System (State Highways and Class I TH links),VT-104,3.28,V104-0604,LRS,Property Damage Only,"(44.64708765, -72.98711358)"
6771,VTVSP0700,12A200404,01/30/2012,Vt 104,Fairfax,NO DATA,104,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,50,1 - Rear End,NO DATA,463313,238941,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-104,2,V104-0604,LRS,Injury,"(44.64901758, -72.96231931)"
6779,VT0140100,12-LL-00786,08/23/2012,RT. 103,Ludlow,NO DATA,NO DATA,NO DATA,NO DATA,Fox Lane,NO DATA,NO DATA,50,3 - Same Direction Sideswipe,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,3.66,V103-1410,LRS,Property Damage Only,"(43.41455201, -72.70522112)"
6780,VT0140100,12-LL-00689,07/23/2012,Rt. 103,Ludlow,NO DATA,NO DATA,NO DATA,NO DATA,Fox Ln.,NO DATA,NO DATA,50,1 - Rear End,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,3.65,V103-1410,LRS,Property Damage Only,"(43.41441206, -72.70527451)"
6781,VT0140100,12-LL-00022,01/05/2012,VT 103,Ludlow,NO DATA,NO DATA,NO DATA,NO DATA,Locust Rd.,NO DATA,NO DATA,50,6 - Single Vehicle Crash,NO DATA,483367,101583,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,3.64,V103-1410,LRS,Property Damage Only,"(43.41427200, -72.70532713)"
6782,VT0140100,12LL00111,02/02/2012,VT-103 (74 Pond Street),Ludlow,NO DATA,103,NO DATA,NO DATA,74 Pond Street,5,Feet,40,6 - Single Vehicle Crash,North,483162,100332,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,2.89,V103-1410,LRS,Injury,"(43.40359977, -72.70755597)"
6783,VT0140100,12-LL-00995,10/31/2012,VT-103 (215 Main St.),Ludlow,NO DATA,NO DATA,NO DATA,NO DATA,Shaws Plaza,NO DATA,NO DATA,25,1 - Rear End,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,2.3,V103-1410,LRS,Property Damage Only,"(43.39587424, -72.70391075)"
6784,VT0140100,12LL01178,12/29/2012,VT-103 (219 Main Street),Ludlow,NO DATA,NO DATA,NO DATA,NO DATA,Entrance Shaw's Plaza,NO DATA,NO DATA,30,2 - Head On,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,2.27,V103-1410,LRS,Property Damage Only,"(43.39587420, -72.70332366)"
6792,VT0140100,12-LL-01169,12/28/2012,VT-103 (93 Main Street),Ludlow,NO DATA,NO DATA,NO DATA,NO DATA,Gilscoot Ave,NO DATA,NO DATA,25,1 - Rear End,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,1.86,V103-1410,LRS,Property Damage Only,"(43.39675818, -72.69521739)"
6793,VT0140100,12LL00478,05/14/2012,VT-103 (43 Main Street),Ludlow,NO DATA,NO DATA,NO DATA,NO DATA,Entrance To Black River High School,NO DATA,NO DATA,30,2 - Head On,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,1.53,V103-1410,LRS,Injury,"(43.39657451, -72.68863398)"
6794,VT0140100,12LL00798,08/24/2012,VT-103 (9 Main St),Ludlow,NO DATA,NO DATA,NO DATA,NO DATA,Cota And Cota Oil Co.,1,Miles,30,NO DATA,South,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,1.32,V103-1410,LRS,Property Damage Only,"(43.39535797, -72.68467987)"
6795,VT0140100,12-LL-00816,08/29/2012,RT. 103,Ludlow,NO DATA,NO DATA,NO DATA,NO DATA,Pleasant St. Ext.,NO DATA,NO DATA,40,"12 - Left Turn and Thru, Same Direction Sideswipe/Angle Crash vv--",NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,0.97,V103-1410,LRS,Injury,"(43.39308011, -72.67866646)"
6796,VT0140100,12LL00202,02/24/2012,321 Route 103 South,Ludlow,NO DATA,103,NO DATA,NO DATA,Happy Trails Motel,10,Feet,40,"8 - No Turns, Thru moves only, Broadside ^<",North,485904,98990,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,0.69,V103-1410,LRS,Property Damage Only,"(43.39097713, -72.67408051)"
6804,VT0140600,12CH00559,06/05/2012,VT-103 North Street,Chester,NO DATA,NO DATA,NO DATA,NO DATA,Green Mountain Turnpike,NO DATA,NO DATA,30,1 - Rear End,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,3.71,V103-1407,LRS,Property Damage Only,"(43.27263461, -72.58915083)"
6805,VT0140600,12CH00090,01/21/2012,VT-103 (316 Depot Street),Chester,NO DATA,NO DATA,NO DATA,NO DATA,Yard Area Of 316 Depot Street,20,Feet,30,7 - Other - Explain in Narrative,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,3.12,V103-1407,LRS,Property Damage Only,"(43.26430368, -72.59005916)"
6806,VT0140600,12CH01233,12/18/2012,VT-103 (203 South Main Street),Chester,NO DATA,NO DATA,NO DATA,NO DATA,US Post Office,NO DATA,NO DATA,25,1 - Rear End,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,2.78,V103-1407,LRS,Property Damage Only,"(43.26101713, -72.59224277)"
6807,VT0140600,12CH01013,09/28/2012,VT RT 103 South,Chester,NO DATA,103,NO DATA,NO DATA,Gingerbread Apartments,NO DATA,NO DATA,25,1 - Rear End,South,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,2.44,V103-1407,LRS,Property Damage Only,"(43.25773927, -72.58734591)"
6808,VT0140600,12CH00203,02/18/2012,VT-103 (642 VT RT 103 South),Chester,NO DATA,103,NO DATA,NO DATA,Heritage Deli,NO DATA,NO DATA,40,1 - Rear End,South,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,1.96,V103-1407,LRS,Property Damage Only,"(43.25521773, -72.57861179)"
6809,VTVSP0400,12D103156,09/28/2012,Route 103,Cavendish,NO DATA,103,NO DATA,NO DATA,Route 131,NO DATA,NO DATA,50,1 - Rear End,NO DATA,488099,98051,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,2.82,V103-1406,LRS,Property Damage Only,"(43.38259969, -72.64690078)"
6817,VTVSP0400,12D100628,02/24/2012,VT 103 (Rockingham Road),Rockingham,NO DATA,103,NO DATA,NO DATA,Pleasant Valley Rd,200,Feet,50,6 - Single Vehicle Crash,North,498849,78037,1030,1314,340,State System (State Highways and Class I TH links),VT-103,3.33,V103-1314,LRS,Property Damage Only,"(43.20264415, -72.51417526)"
6818,VTVSP0400,12D104177,12/27/2012,VT-103 Rockingham Road,Rockingham,NO DATA,103,NO DATA,NO DATA,AOT Garage,0,Miles,50,7 - Other - Explain in Narrative,South,501082,76658,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,1.25,V103-1314,LRS,Injury,"(43.18568281, -72.47956934)"
6819,VTVSP0400,12D100212,01/16/2012,VT-103 Rockingham Road,Rockingham,NO DATA,103,NO DATA,NO DATA,School Bus Depot Rd,NO DATA,NO DATA,50,"8 - No Turns, Thru moves only, Broadside ^<",NO DATA,502448,75527,1030,1314,54,State System (State Highways and Class I TH links),VT-103,0.48,V103-1314,LRS,Property Damage Only,"(43.17963668, -72.46876696)"
6820,VTVSP0400,12D101229,04/20/2012,VT 103 (809 Rockingham Road),Rockingham,NO DATA,103,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,50,"8 - No Turns, Thru moves only, Broadside ^<",NO DATA,502588,75480,1030,1314,40,State System (State Highways and Class I TH links),VT-103,0.42,V103-1314,LRS,Property Damage Only,"(43.17942808, -72.46759474)"
6821,VTVSP0300,12C106917,12/18/2012,VT-103,Wallingford,NO DATA,103,NO DATA,NO DATA,Freeman┬á Brook Road,150,Feet,50,6 - Single Vehicle Crash,North,469608,108519,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,1.85,V103-1125,LRS,Property Damage Only,"(43.47633198, -72.87580862)"
6830,VTVSP0300,12C105653,10/18/2012,VT-103,Mt. Holly,NO DATA,103,NO DATA,NO DATA,Vt Rte 140,NO DATA,NO DATA,50,1 - Rear End,South,469575,105993,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,7.53,V103-1112,LRS,Property Damage Only,"(43.45045920, -72.86937800)"
6831,VTVSP0300,12C106923,12/19/2012,VT-103,Mt. Holly,NO DATA,103,NO DATA,NO DATA,Belmont Rd,0,Miles,50,6 - Single Vehicle Crash,North,472835,105409,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,5.14,V103-1112,LRS,Property Damage Only,"(43.44776856, -72.82359523)"
6832,VTVSP0300,12C106781,12/12/2012,VT-103 (1842),Mt. Holly,NO DATA,103,NO DATA,NO DATA,NO DATA,20,Feet,50,6 - Single Vehicle Crash,North,476346,106151,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,3.44,V103-1112,LRS,Property Damage Only,"(43.45535094, -72.79238480)"
6833,VTVSP0300,12C102885,06/06/2012,VT-103,Mt. Holly,NO DATA,103,NO DATA,NO DATA,TH 47,1,Miles,50,6 - Single Vehicle Crash,North,479300,104216,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-103,1.77,V103-1112,LRS,Injury,"(43.44138106, -72.76588218)"
6834,VTVSP0300,12C104039,08/03/2012,VT-103,Mt. Holly,NO DATA,103,NO DATA,NO DATA,TH 2,NO DATA,NO DATA,50,3 - Same Direction Sideswipe,NO DATA,478679,104422,1030,1112,180,State System (State Highways and Class I TH links),VT-103,1.61,V103-1112,LRS,Property Damage Only,"(43.43967594, -72.76334578)"
6835,VTVSP0300,12C105643,10/18/2012,VT 103,Mt. Holly,NO DATA,103,NO DATA,NO DATA,Greenstand Road,0,Miles,50,6 - Single Vehicle Crash,South,479049,104216,1030,1112,161,State System (State Highways and Class I TH links),VT-103,1.48,V103-1112,LRS,Property Damage Only,"(43.43851245, -72.76138813)"
6843,VTDMV0004,12DMV0307,11/30/2012,890 RTE 102,Canaan,NO DATA,102,NO DATA,NO DATA,TODD HILL ROAD,1,Miles,50,1 - Rear End,South,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-102,0.89,V102-0506,LRS,Property Damage Only,"(44.92078386, -71.51844596)"
6844,VT0050000,12EXC0303,12/22/2012,VT-102,Bloomfield,NO DATA,102,NO DATA,NO DATA,Stevens Road,0,Miles,50,3 - Same Direction Sideswipe,North,NO DATA,NO DATA,1020,503,560,State System (State Highways and Class I TH links),VT-102,4.83,V102-0503,LRS,Property Damage Only,"(44.80032301, -71.57432331)"
6845,VTVSP0800,12B204308,12/23/2012,VT 102,Bloomfield,NO DATA,102,NO DATA,NO DATA,Town Cemetary,NO DATA,NO DATA,50,6 - Single Vehicle Crash,North,572716,254631,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-102,3.91,V102-0503,LRS,Property Damage Only,"(44.78835848, -71.58158147)"
6846,VTVSP0800,12B203729,11/02/2012,VT-101,Troy,NO DATA,101,NO DATA,NO DATA,Starrs Dr,0,Miles,50,6 - Single Vehicle Crash,South,506987,270547,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-101,2.51,V101-1017,LRS,Property Damage Only,"(44.94266933, -72.41108386)"
6847,VT0080000,12LC02360,08/23/2012,VT-100C (4318 100-C),Johnson,NO DATA,100C,NO DATA,NO DATA,Bradley Road,1,Miles,50,2 - Head On,South,493202,238048,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-100C,3.91,V100C0806,LRS,Injury,"(44.66298083, -72.61714981)"
6848,VT0080000,12LC03498,12/12/2012,VT-100C (3761 Vt Rt 100C),Johnson,NO DATA,100C,NO DATA,NO DATA,NO DATA,50,NO DATA,50,4 - Opp Direction Sideswipe,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-100C,3.75,V100C0806,LRS,Injury,"(44.66295464, -72.62034781)"
6856,VT0080000,12LC00255,01/31/2012,Vt Rt 100C,Johnson,NO DATA,100C,NO DATA,NO DATA,Sinclair Road,100,Feet,35,4 - Opp Direction Sideswipe,North,487272,237790,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-100C,0.96,V100C0806,LRS,Property Damage Only,"(44.64023717, -72.66097706)"
6857,VT0080000,12LC03293,11/19/2012,248 100C,Johnson,NO DATA,100C,NO DATA,NO DATA,School Street,500,Feet,35,6 - Single Vehicle Crash,South,405652,238339,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-100C,0.27,V100C0806,LRS,Property Damage Only,"(44.63500215, -72.67094894)"
6858,VT0080000,12LC02264,08/15/2012,Rt 100C,Johnson,NO DATA,100C,NO DATA,NO DATA,School Street,0,Miles,35,6 - Single Vehicle Crash,South,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-100C,0.13,V100C0806,LRS,Property Damage Only,"(44.63440276, -72.67368258)"
6859,VT0080000,12LC03246,11/14/2012,VT Rt 100C,Johnson,NO DATA,NO DATA,NO DATA,NO DATA,VT-15,NO DATA,NO DATA,35,1 - Rear End,North,446335,726760,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-100C,0,V100C0806,LRS,Property Damage Only,"(44.63389125, -72.67624055)"
6860,VT0080000,12LC01617,06/12/2012,Rt 100c,Johnson,NO DATA,100C,NO DATA,NO DATA,Rt 15,15,Feet,30,1 - Rear End,North,486040,237083,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-100C,0,V100C0806,LRS,Property Damage Only,"(44.63389125, -72.67624055)"
6861,VTVSP1200,12A304970,11/20/2012,Vermont 100B,Moretown,NO DATA,100B,NO DATA,NO DATA,Residence 291,50,Feet,40,6 - Single Vehicle Crash,East,479907,195592,1002,1212,200,State System (State Highways and Class I TH links),VT-100B,2.05,V100B1212,LRS,Injury,"(44.26030539, -72.75167108)"
6869,VTVSP1100,12D301448,04/14/2012,RT 100,Stockbridge,NO DATA,100,NO DATA,NO DATA,Rochester Town Lin,1,Miles,50,6 - Single Vehicle Crash,South,477854,144644,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-100,4.59,V100-1419,LRS,Injury,"(43.80160468, -72.77384420)"
6870,VTVSP1000,12D202788,10/06/2012,VT Route 112,Whitingham,NO DATA,112,NO DATA,NO DATA,VT Route 8A,NO DATA,NO DATA,50,6 - Single Vehicle Crash,NO DATA,474983,31074,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-112,0.06,V112-1321,LRS,Injury,"(42.77934691, -72.80570297)"
6871,VTVSP1000,12D202736,09/30/2012,3671 Vt Rt 112,Halifax,NO DATA,112,NO DATA,NO DATA,Hubbard Hill Rd,1,Miles,50,6 - Single Vehicle Crash,North,477246,29004,1120,1308,380,State System (State Highways and Class I TH links),VT-112,3.78,V112-1308,LRS,Property Damage Only,"(42.76072571, -72.77748996)"
6872,VTVSP1000,12D203420,12/11/2012,VT-112,Halifax,NO DATA,112,NO DATA,NO DATA,Hubbard Hill Road,250,Feet,50,6 - Single Vehicle Crash,South,477760,29246,1120,1308,340,State System (State Highways and Class I TH links),VT-112,3.49,V112-1308,LRS,Property Damage Only,"(42.76262639, -72.77302057)"
6873,VTVSP0800,12B202238,07/18/2012,VT-111 (2592 VT RTE 111),Morgan,NO DATA,111,NO DATA,NO DATA,2592 VT RTE 111,NO DATA,NO DATA,50,6 - Single Vehicle Crash,East,543173,262790,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-111,8.65,V111-1014,LRS,Property Damage Only,"(44.86342731, -71.94931703)"
6874,VTVSP0800,12B202888,08/27/2012,VT-111,Morgan,NO DATA,111,NO DATA,NO DATA,Morgan/Charleston Road,NO DATA,NO DATA,35,4 - Opp Direction Sideswipe,East,538328,268238,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-111,2.81,V111-1014,LRS,Property Damage Only,"(44.91337367, -72.01471817)"
6882,VT0120500,12BT02196,08/11/2012,VT-110 Washington Rd,Barre Town,NO DATA,110,NO DATA,NO DATA,Prospect St,0,Miles,50,2 - Head On,South,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-110,0.55,V110-1202,LRS,Injury,"(44.15457858, -72.44571844)"
6883,VT0120500,12BT03029,11/08/2012,VT-110 Washington Rd,Barre Town,NO DATA,110,NO DATA,NO DATA,E Barre Dam Access Rd,10,Feet,50,6 - Single Vehicle Crash,East,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-110,0.48,V110-1202,LRS,Property Damage Only,"(44.15385868, -72.44472967)"
6884,VTVSP1200,12A305506,12/25/2012,VT-110 (1853 VT RT 110),Washington,NO DATA,110,NO DATA,NO DATA,1853 VT RT110,1,Miles,50,6 - Single Vehicle Crash,South,505566,180319,1100,915,703,State System (State Highways and Class I TH links),VT-110,6.96,V110-0915,LRS,Property Damage Only,"(44.12333084, -72.43039317)"
6885,VTVSP1200,12A303225,07/25/2012,Vermont Route 110,Washington,NO DATA,110,NO DATA,NO DATA,Tilton Road,1,Miles,50,NO DATA,South,503051,175128,1100,915,198,State System (State Highways and Class I TH links),VT-110,1.48,V110-0915,LRS,Property Damage Only,"(44.05850286, -72.46363439)"
6886,VTVSP1100,12D304530,10/09/2012,VT-110 (475 Route 110),Tunbridge,NO DATA,110,NO DATA,NO DATA,#475,NO DATA,NO DATA,35,2 - Head On,NO DATA,501482,156877,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-110,4.72,V110-0913,LRS,Injury,"(43.91213012, -72.48161927)"
6887,VTVSP1100,12D303959,09/06/2012,461 VT RT 110,Tunbridge,NO DATA,110,NO DATA,NO DATA,Whitney Hill Rd,NO DATA,Feet,35,6 - Single Vehicle Crash,North,501373,156710,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-110,4.59,V110-0913,LRS,Property Damage Only,"(43.91069516, -72.48320874)"
6895,VT0080200,12ST00531,02/25/2012,VT-108 Mountain Road,Stowe,NO DATA,108,NO DATA,NO DATA,Mansfields Base,NO DATA,NO DATA,50,2 - Head On,NO DATA,477643,225337,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-108,7.3,V108-0808,LRS,Property Damage Only,"(44.52782395, -72.78107668)"
6896,VT0080200,12ST00589,03/01/2012,VT-108 Mountain Road,Stowe,NO DATA,108,NO DATA,NO DATA,1/10 Mile South Of Mansfield Base Road,NO DATA,NO DATA,50,6 - Single Vehicle Crash,NO DATA,477351,225772,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-108,7.21,V108-0808,LRS,Property Damage Only,"(44.52702365, -72.77968116)"
6897,VT0080200,12ST01713,07/05/2012,VT-108 Mountain Road,Stowe,NO DATA,108,NO DATA,NO DATA,Smugglers Notch Campground,0,Miles,50,6 - Single Vehicle Crash,North,478371,224572,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-108,6.62,V108-0808,LRS,Property Damage Only,"(44.52105342, -72.77186772)"
6898,VT0080200,12ST00530,02/25/2012,VT-108 (6443 Mountain Road),Stowe,NO DATA,108,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,50,1 - Rear End,NO DATA,478441,224467,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-108,6.56,V108-0808,LRS,Property Damage Only,"(44.52030191, -72.77129486)"
6899,VT0080200,12ST00535,02/25/2012,VT-108 (6107 Mountain Road),Stowe,NO DATA,108,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,50,2 - Head On,NO DATA,478075,224926,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-108,6.16,V108-0808,LRS,Property Damage Only,"(44.51518751, -72.76782900)"
6900,VT0080200,12ST03006,11/29/2012,VT-108 (6047 Mountian Road),Stowe,NO DATA,108,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,50,6 - Single Vehicle Crash,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-108,6.08,V108-0808,LRS,Property Damage Only,"(44.51415248, -72.76715315)"
6901,VT0080200,12ST01074,04/27/2012,VT-108 (5837 Mountain Rd),Stowe,NO DATA,108,NO DATA,NO DATA,Fireside Tavern,NO DATA,NO DATA,50,NO DATA,North,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,State System (State Highways and Class I TH links),VT-108,5.88,V108-0808,LRS,Property Damage Only,"(44.51156404, -72.76546620)"
