Year,FSCS ID,Town,Library,Mailing Address,Street Address,County,Phone Number,Hours per Week,FY Ends,Population,Hours MLS,ALA MLS,Hours Librarian,FTE Librarians,Hours other,Other Staff,Total Hours,Total FTE,Weekly Volunteer Hrs,Square Feet,Cap. Revenue - Local Taxes,Cap. Revenue - State,Cap. Revenue - Federal, Cap. Revenue - Other ,Total Cap. Revenue , Local Tax , Per Capita Tax ,Other Income, Total Income , State Grant  , Federal Grant , Other Grant , Total Grants , Fee Revenue, Book Expense , E Expense, AV Expense,Total Media Expense , Per Capita Expense, Salaries , Employee Benefits , Total Staff Expense , Other Expense , Total Operating Expense , PC Total Expense ,Grant Expense, Capital Expense ,Adult Books,Juvenile Books,Books,Per Capita Books,E Books,Adult Video,Juvenile Video,Video,Adult Audio,Juvenile Audio,Audio,Total Holdings,Adult Subscriptions,Juvenile Subscriptions,Subscriptions,Databases,E serials,Adult Borrowers,Juvenile Borrowers,Borrowers,% of population who borrow,Visits,Per Capita Visits,Reference Trans.,Per Capita Reference Trans.,Adult Circulation,Juvinile Circulation,Total Circulation,Per Capita Circulation,Collection Turnover,Library Loans Out,Library Loans In,Adult Programs,Juvenile Programs,Young Adult Programs,Total Programs,Adult Prog. Attend.,Juvenile Prog. Attend.,Young Adult Prog. Attend.,Total Program Attendance,Per Capita Prog. Attend.,Home Deliveries,Day Care Deliveries,Other Deliveries,Number of Computers,Public Computers,Computer Trained,Computer Users per Week,Wireless Users per Week,Internet Type,filtered?,Name of filtering program,Meets Standards?,Library Type,Automated?,Automation Vendor,Location 1,ZIP+4,Web address,City
2011-2012,VT0144,SHREWSBURY,Shrewsbury,PO Box 396,98 Town Hill Rd.,Rutland,(802) 492-3410,17.34615385,12/31/2011,1018,0,0,0,0,0,0,0,0,50,2705,$0.00,$0.00,$0.00,$0.00,$0.00,$7500.00,$7.37,$21739.00,$29239.00,$100.00,$50.00,$0.00,$150.00,N/A,$2593.00,$390.00,$786.00,$3769.00,$3.70,$0.00,$0.00,$0.00,$12534.00,$16303.00,$16.01,$150.00,"$2,559 ",6566,2384,8950,8.79,0,1012,335,1347,162,88,250,10547,25,0,25,1,0,247,49,296,29.08%,3224,3.17,416,0.41,3245,639,3884,3.82,0.37%,17,16,20,23,0,43,517,354,0,871,0.86,N/A,0,0,3,2,8,7,2,high speed,No,N/A,y-86,Incorporated,No,KOHA,"98 Town Hill Rd.
Shrewsbury, VT 05738
(43.48944114900047, -72.88091227299964)",396,Shrewsburylibrary.org,Shrewsbury
2008-2009,VT0090,MANCHESTER,Mark Skinner,PO Box 438,48 West Rd.,Bennington,(802) 362-2607,38,07/31/2009,4271,95,2.38,195,4.88,10,0.25,205,5.13,12,7725,$0.00,$0.00,$0.00,$0.00,$0.00,$144000.00,$33.72,$184281.00,$328281.00,$0.00,$0.00,$5750.00,$5750.00,$9642.00,$21771.00,$200.00,$9200.00,$31171.00,$7.30,$140852.00,$38222.00,$179074.00,$127678.00,$337923.00,$79.12,$3995.00,"$18,414 ",13444,5580,19024,4.45,0,943,181,1124,679,96,775,20923,37,0,37,23,0,2488,649,3137,73.45%,51584,12.08,140,0.03,39040,12439,51479,12.05,246.04%,314,618,33,89,3,125,1366,2039,24,3429,0.8,175,32,0,18,9,24,170,33,high speed,No,N/A,86,Incorporated,Yes,Follett,"48 West Rd.
Manchester, VT 05254
(43.16422834100047, -73.07200254199967)",438,markskinnerlibrary.org,Manchester
2011-2012,VT0033,CASTLETON,Castleton Free,PO Box 296 Main.St.,638 Main St.,Rutland,(802) 468-5574,26.84615385,06/30/2012,5295,0,0,48,1.2,4,0.1,52,1.3,20,4283,$0.00,$0.00,$0.00,$0.00,$0.00,$102024.00,$19.27,$1270.00,$103294.00,$100.00,$55.00,$0.00,$155.00,$0.00,$9693.00,$1524.00,$3778.00,$14995.00,$2.83,$48002.00,$11066.00,$59068.00,$24729.00,$98792.00,$18.66,$155.00,$0 ,N/A,N/A,20586,3.89,0,N/A,N/A,3201,N/A,N/A,719,24506,26,7,33,26,0,2138,923,3061,57.81%,8580,1.62,0,0,7585,4907,12492,2.36,0.51%,17,131,35,72,4,111,844,1455,37,2336,0.44,39,1,44,11,8,43,25,N/A,high speed,No,N/A,y-86,Incorporated,Yes,KOHA,"638 Main St.
Castleton, VT 05735
(43.611646159000486, -73.17829737799963)",296,castletonfreelibrary.org,Castleton
2011-2012,VT0125,READSBORO,Readsboro Community,301 Phelps Ln.,301 Phelps Ln.,Bennington,(802) 423-5460,30.8,12/31/2011,814,0,0,26,0.65,19,0.475,45,1.125,2,924,$0.00,$0.00,$0.00,$0.00,$0.00,$24932.00,$30.63,$500.00,$25432.00,$100.00,$50.00,$0.00,$150.00,$0.00,$1715.00,$250.00,$499.00,$2464.00,$3.03,$17850.00,$1366.00,$19216.00,$3502.00,$25182.00,$30.94,$0.00,$0 ,N/A,N/A,8216,10.09,0,N/A,N/A,728,N/A,N/A,212,9156,10,9,19,25,0,95,86,181,22.24%,6240,7.67,4472,5.49,1955,2839,4794,5.89,0.52%,2,16,7,38,0,45,186,239,0,425,0.52,60,24,0,5,5,8,80,12,high speed,Children Only,Sonic Wall,y-86,Community (joint school-public),Yes,Follett,"301 Phelps Ln.
Readsboro, VT 05350
(42.771405882000465, -72.94067284099964)",248,www.readsborocommunitylibrary.wordpress.com,Readsboro
2011-2012,VT0149,STARKSBORO,Starksboro Public,PO Box 124 ,2827 Rte. 116,Addison,(802) 453-3732,19,06/30/2012,1903,0,0,17,0.425,7,0.175,24,0.6,8,1500,$0.00,$0.00,$0.00,$0.00,$0.00,$23345.00,$12.27,$1446.00,$24791.00,$100.00,$21.00,$0.00,$121.00,N/A,$2294.00,$181.00,$91.00,$2566.00,$1.35,$13772.00,$1694.00,$15466.00,$6135.00,$24167.00,$12.70,$100.00,$0 ,2109,2445,4554,2.39,0,420,140,560,N/A,N/A,215,5329,N/A,N/A,10,1,0,N/A,N/A,621,32.63%,3536,1.86,0,0,1345,1953,3553,1.87,0.67%,2,171,N/A,N/A,N/A,181,N/A,N/A,N/A,1721,0.9,4,10,3,2,1,0,8,N/A,high speed,No,n/a,y-86,Municipal,No,n/a,"2827 Rte. 116
Starksboro, VT 05487
(44.22521294900048, -73.05698778199962)",124,starksborolibrary.wordpress.com,Starksboro
2009-2010,VT0076,HYDE PARK,Lanpher Memorial,PO Box 196,141 Main St.,Lamoille,(802) 888-4628,24.38,06/30/2009,3484,0,0,26,0.65,9,0.23,35,0.88,23,6060,$0.00,$0.00,$0.00,$0.00,$0.00,$38620.00,$11.08,$7280.00,$45900.00,$100.00,$76.00,$3000.00,$4176.00,$0.00,N/A,N/A,N/A,$9300.00,$2.67,$22762.00,$0.00,$22762.00,$13838.00,$45900.00,$13.17,$4000.00,$0 ,N/A,N/A,22000,6.31,0,N/A,N/A,600,N/A,N/A,400,23000,N/A,N/A,0,23,0,N/A,N/A,1231,35.33%,12480,3.58,2912,0.84,7805,9605,17410,5,0.76%,123,542,6,110,2,118,124,1809,18,1951,0.56,5,8,N/A,7,8,0,66,12,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,n/a,y-86,Incorporated,No,n/a,"141 Main St.
Hyde Park, VT 05655
(44.59356550700045, -72.61716913599963)",196,lanpherlibrary.org,Hyde Park
2011-2012,VT0170,WARREN,Warren Public,PO Box 287,413 Main Street,Washington,(802) 496-3913,31,12/31/2011,1464,33,0.825,40,1,23,0.575,63,1.575,19,1450,$0.00,$0.00,$0.00,$0.00,$0.00,$81688.00,$55.80,$5843.00,$87531.00,$0.00,$77.00,$0.00,$77.00,N/A,$9597.00,$758.00,$2615.00,$12970.00,$8.86,$51818.00,$14783.00,$66601.00,$7960.00,$87531.00,$59.79,$542.00,$0 ,5379,2955,8334,5.69,0,875,90,965,668,149,817,10116,28,6,34,26,0,764,30,794,54.23%,8580,5.86,156,0.11,11587,4647,16234,11.09,1.6%,179,199,43,54,0,97,1010,1148,0,2158,1.47,0,0,0,7,5,15,15,4,high speed,No,none,y-98,Municipal,Yes,open access--Koha,"413 Main Street
Warren, VT 05674
(44.11277813400045, -72.85596623799967)",287,http://www.warrenlibrary.com/warren/,Warren
2009-2010,VT0155,THETFORD,Latham Memorial,PO Box 240,16 Library Ln.,Orange,(802) 785-4361,32.5,12/31/2009,2784,30,0.75,35,0.88,0,0,35,0.88,25,2626,$0.00,$0.00,$0.00,$0.00,$0.00,$52940.00,$19.02,$19655.00,$72595.00,$0.00,$45.00,$0.00,$45.00,$0.00,$3000.00,$3000.00,$1700.00,$7700.00,$2.77,$45300.00,$13222.00,$58522.00,$6373.00,$72595.00,$26.08,$0.00,$0 ,8741,2994,11735,4.22,0,625,132,757,182,125,307,12799,79,10,89,25,0,N/A,N/A,2345,84.23%,12116,4.35,1664,0.6,8666,4159,12825,4.61,1%,30,147,32,106,5,143,160,844,31,1035,0.37,0,0,0,10,8,0,92,37,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,N/A,y-86,Incorporated,Yes,Library World,"16 Library Ln.
Thetford, VT 05074
(43.82050085800046, -72.23245888999963)",240,N/A,Thetford
2010-2011,VT0157,THETFORD/POSTMILLS,George Peabody,PO Box 190,7922 Rte. 113,Orange,(802) 333-9724,8.58,12/31/2010,2588,10,0.25,15,0.38,0,0,15,0.38,2,858,$0.00,$0.00,$0.00,$0.00,$0.00,$5500.00,$2.13,$4650.00,$10150.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1200.00,$0.00,$1750.00,$2950.00,$1.14,$0.00,$0.00,$0.00,$7200.00,$10150.00,$3.92,$0.00,$0 ,4175,2520,6695,2.59,0,180,94,274,159,153,312,7281,12,4,16,24,0,175,65,240,9.27%,1196,0.46,208,0.08,N/A,N/A,789,0.3,0.11%,4,11,18,50,3,71,205,401,22,628,0.24,12,0,0,0,2,1,2,1,13,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,N/A,Incorporated,Yes,Library World,"7922 Rte. 113
Post Mills, VT 05058
(43.88537623600047, -72.26091769099963)",190,N/A,Post Mills
2009-2010,VT0199,"HARTFORD, WEST",West Hartford,PO Box 26,5133 Rte. 14,Windsor,(802) 295-7992,30.42,06/30/2010,747,0,0,31,0.78,0,0,31,0.78,3,1500,$0.00,$0.00,$0.00,$0.00,$0.00,$44599.00,$59.70,$0.00,$44599.00,$100.00,$64.00,$0.00,$164.00,$0.00,N/A,N/A,N/A,$6000.00,$8.03,$22750.00,$1849.00,$24599.00,$14000.00,$44599.00,$59.70,$100.00,$0 ,4800,4500,9300,12.45,0,450,325,775,275,250,525,9825,25,2,27,24,0,586,145,731,97.86%,6760,9.05,416,0.17,2995,2205,5200,6.96,0.53%,80,113,N/A,N/A,N/A,48,N/A,N/A,N/A,411,0.55,0,0,3,4,2,2,50,5,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,none,y-86,Municipal,No,none,"5133 Rte. 14
West Hartford, VT 05084
(43.71250218500046, -72.41741609399963)",26,n/a,West Hartford
2008-2009,VT0127,RICHMOND,Richmond Free,P.O. Box 997,201 Bridge St.,Chittenden,(802) 434-3036,42,06/30/2008,4160,32,0.8,36,0.9,42,1.05,78,1.95,40,5000,$21599.00,$0.00,$0.00,$0.00,$21599.00,$155540.00,$37.39,$1321.00,$156861.00,,$236.00,,$236.00,$590.00,N/A,N/A,N/A,$12915.00,$3.10,$95846.00,$17453.00,$113299.00,$29813.00,$156027.00,$37.51,$0.00,"$13,599 ",6358,8515,14873,3.58,0,510,212,722,3991,1385,5376,20971,76,13,89,21,0,N/A,N/A,3370,81.01%,0,0,41,0.01,N/A,N/A,47330,11.38,225.69%,259,390,29,114,N/A,143,536,987,N/A,1523,0.37,7,0,0,9,5,27,40,N/A,high speed,No,N/A,98,Municipal,Yes,Follett,"201 Bridge St.
Richmond, VT 05477
(44.40322733700049, -72.99505855899963)",9908,www.richmondfreelibraryvt.org,Richmond
2009-2010,VT0081,JOHNSON,Johnson Public,PO Box 601,7 Library Dr.,Lamoille,(802) 635-7141,31,06/30/2010,3323,0,0,26,0.65,7,0.18,33,0.83,2,2400,N/A,$0.00,$0.00,$0.00,$0.00,$46589.00,$14.02,$16401.00,$62990.00,$100.00,$50.00,$12250.00,$12400.00,$0.00,$6366.00,$0.00,$1847.00,$8213.00,$2.47,$31980.00,$12071.00,$44051.00,$7988.00,$60252.00,$18.13,$11615.00,$0 ,5250,4900,10150,3.05,0,100,90,190,300,150,450,10600,25,0,25,0,0,0,0,1300,39.12%,11804,3.55,1040,0.31,0,N/A,13974,4.21,1.32%,N/A,N/A,12,71,7,90,160,2432,175,2767,0.83,1,50,0,7,5,0,100,10,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,0,y-86,Municipal,No,0,"7 Library Dr.
Johnson, VT 05656
(44.63468346900049, -72.68199068699965)",601,N/A,Johnson
2010-2011,VT0029,BURLINGTON,Fletcher Free,235 College St.,235 College St.,Chittenden,(802) 863-3403,62.6,06/30/2011,42417,206,5.15,246,6.15,502,12.55,748,18.7,220,44000,$0.00,$0.00,$0.00,$0.00,$0.00,$1801828.00,$42.48,$40884.00,$1858429.00,$2090.00,$2281.00,$15946.00,$20317.00,$15717.00,$127886.00,$29944.00,$23163.00,$180993.00,$4.27,$859225.00,$521462.00,$1380687.00,$216063.00,$1777743.00,$41.91,$0.00,$0 ,102484,44844,147328,3.47,0,4905,1314,6219,1561,1879,3440,156987,261,16,277,35,0,12186,2036,14222,33.53%,263796,6.22,13052,0.31,236991,170625,407616,9.61,2.6%,1807,1227,380,305,210,895,4084,8725,1167,13976,0.33,146,30,33,148,54,30,241,1321,500,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",Children Only,Safeyes,Municipal,Yes,SIRSI,"235 College St.
Burlington, VT 05401
(44.47717239500048, -73.21010824999968)",8317,http://www.fletcherfree.org,Burlington
2008-2009,VT0091,MARSHFIELD,Jaquith Public,PO Box 227 ,122 School St.,Washington,(802) 426-3581,26,12/31/2008,1593,0,0,35,0.88,1.5,0.04,36.5,0.91,8,1700,$0.00,$0.00,$0.00,$0.00,$0.00,$56928.00,$35.74,$6325.00,$63253.00,$69.00,,,$69.00,N/A,N/A,N/A,N/A,$4649.00,$2.92,$25705.00,$12405.00,$38110.00,$16682.00,$59441.00,$37.31,$0.00,$0 ,N/A,N/A,10974,6.89,0,N/A,N/A,894,N/A,N/A,723,12591,N/A,N/A,25,0,0,N/A,N/A,966,60.64%,10400,6.53,N/A,N/A,N/A,N/A,11553,7.25,91.76%,25,510,N/A,N/A,N/A,138,N/A,N/A,N/A,3042,1.91,N/A,N/A,N/A,3,2,N/A,N/A,N/A,high speed,No,N/A,86,Municipal,Yes,Library World,"122 School St.
Marshfield, VT 05658
(44.34900151500045, -72.35406558099965)",227,www.marshfield.lib.vt.us,Marshfield
2011-2012,VT0217,VERSHIRE,Vershire Community,PO Box 112,Rt. 113,Orange,(802) 685-9982,N/R,N/R,590,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,300,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"Rt. 113
Vershire, VT 05079
(43.962660395000455, -72.29188706199966)",112,N/R,Vershire
2008-2009,VT0051,DOVER,Dover Free,PO Box 267 ,22 Holland Rd.,Windham,(802) 348-7488,32,06/30/2009,1432,40,1,86,2.15,16,0.4,102,2.55,20,3372,$0.00,$0.00,$0.00,$0.00,$0.00,$137221.00,$95.82,$5147.00,$142368.00,$160.00,,,$160.00,$330.00,$15532.00,$550.00,$4915.00,$20997.00,$14.66,$77387.00,$20735.00,$98122.00,$17819.00,$136938.00,$95.63,$160.00,$200 ,8581,6194,14775,10.32,0,757,320,1077,326,200,526,16378,96,15,111,25,0,1319,173,1492,104.19%,14768,10.31,0,0,9974,12211,22185,15.49,135.46%,67,359,39,72,1,112,648,1453,3,2104,1.47,1,0,0,9,5,5,20,10,high speed,No,N/A,98,Municipal,Yes,Follett,"22 Holland Rd.
East Dover, VT 05341
(42.94451681400045, -72.80310722299964)",267,www.doverfreelibrary1913.org,East Dover
2010-2011,VT0152,STRAFFORD,Morrill Mem. & Harris,PO Box 110,220 Justin Morrill Hwy.,Orange,(802) 765-4037,19.27,12/31/2010,1098,0,0,25,0.63,0,0,25,0.63,12,2260,$0.00,$0.00,$0.00,$0.00,$0.00,$35800.00,$32.60,$15274.00,$51074.00,$0.00,$147.00,$9000.00,$9147.00,$0.00,$4129.00,$295.00,$1458.00,$5882.00,$5.36,$24198.00,$2452.00,$26650.00,$21282.00,$53814.00,$49.01,$147.00,$0 ,N/A,N/A,9863,8.98,0,N/A,N/A,581,N/A,N/A,455,10899,15,0,15,1,0,611,215,826,75.23%,4732,4.31,104,0.09,N/A,N/A,9231,8.41,0.85%,49,235,15,39,0,54,92,391,0,483,0.44,2,0,0,0,4,2,4,17,8,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,N/A,Incorporated,Yes,Library World,"220 Justin Morrill Hwy.
Strafford, VT 05072
(43.8779418310005, -72.38246586099967)",110,www.straffordlibrary.org,Strafford
2011-2012,VT0115,PITTSFORD,Maclure ,PO Box 60,840 Arch St.,Rutland,(802) 483-2972,34,12/31/2011,3012,0,0,40,1,39,0.975,79,1.975,10,3000,$0.00,$0.00,$0.00,$0.00,$0.00,$60000.00,$19.92,$15381.00,$76042.00,$2600.00,$138.00,$6300.00,$9038.00,$661.00,$16863.00,$1539.00,$2593.00,$20995.00,$6.97,$57620.00,$4258.00,$61878.00,$32673.00,$115546.00,$38.36,$9300.00,$0 ,7308,3980,11288,3.75,0,125,65,190,895,15,910,12388,0,0,0,25,0,0,0,1002,33.27%,40040,13.29,10400,3.45,9500,7628,17128,5.69,1.38%,117,279,25,92,0,117,511,3986,0,4497,1.49,42,0,20,10,7,1100,152,35,high speed,No,n/a,y-98,Incorporated,No,n/a,"840 Arch St.
Pittsford, VT 05673
(43.7060767640005, -73.02697365899962)",60,www.maclurelibrary.org,Pittsford
2011-2012,VT0017,BETHEL,Bethel Public,PO Box 354,106 Main St.,Windsor,(802) 234-9107,N/R,N/R,2092,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,1500,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"106 Main St.
Bethel, VT 05032
(43.82977294500046, -72.63184041699964)",354,N/R,Bethel
2011-2012,VT0116,PLAINFIELD,Cutler Memorial,PO Box 186,151 High St.,Washington,(802) 454-8504,20.80769231,06/30/2012,1307,0,0,24,0.6,0,0,24,0.6,18,1125,$0.00,$0.00,$0.00,$0.00,$0.00,$26000.00,$19.89,$19142.00,$45142.00,$0.00,$3310.00,$0.00,$3310.00,N/A,$5346.00,$250.00,N/A,$5596.00,$4.28,$14240.00,$3556.00,$17796.00,$25074.00,$48466.00,$37.08,$4200.00,$0 ,N/A,N/A,7467,5.71,0,N/A,N/A,921,N/A,N/A,239,8627,6,1,7,3,0,N/A,N/A,765,58.53%,3380,2.59,416,0.32,N/A,N/A,4820,3.69,0.56%,7,213,N/A,N/A,N/A,37,N/A,N/A,N/A,150,0.11,0,12,7,4,2,12,7,5,high speed,No,n/a,y-86,Incorporated,Yes,LibraryWorld,"151 High St.
Plainfield, VT 05667
(44.27784218800048, -72.42868575199964)",186,www.cutlerlibrary.org,Plainfield
2011-2012,VT0179,WESTFORD,Westford Public,PO Box 86,1717 VT Rte. 128,Chittenden,(802) 878-5639,24,06/30/2012,2089,28,0.7,28,0.7,2,0.05,30,0.75,8,2130,$0.00,$0.00,$0.00,$0.00,$0.00,$53653.00,$25.68,$500.00,$54153.00,$0.00,$62.00,$0.00,$62.00,N/A,$4439.00,$770.00,$649.00,$5858.00,$2.80,$28489.00,$2905.00,$31394.00,$16901.00,$54153.00,$25.92,$0.00,"$10,000 ",N/A,N/A,8863,4.24,362,316,188,504,138,286,424,9791,21,2,23,24,0,N/A,N/A,847,40.55%,4992,2.39,936,0.45,N/A,2567,11227,5.37,1.15%,7,291,N/A,92,N/A,311,990,573,N/A,1563,0.75,0,0,0,4,3,5,10,N/A,high speed,No,n/a,y-86,Municipal,Yes,LibraryWorld,"1717 VT Rte. 128
Westford, VT 05494
(44.612026899000455, -73.01137972299966)",86,http://westfordpubliclibrary.org,Westford
2007-2008,,LYNDON,Cobleigh Public,PO Box 147,14 Depot St.,Caledonia,8026265475,37,12/31/2007,10276,0,0,133,3.33,48,1.2,181,4.53,24,8000, $- , $- , $- , $- , $- ,$177169.00,$17.24,$31894.00,$209063.00,$2500.00,$822.00,$21260.00,$24582.00, $- ,$15381.00,$719.00, $- ,$16100.00,$1.57,$122857.00,$30451.00,$153308.00,$36940.00,$206348.00,$20.08,$24582.00, $- ,17158,10793,27951,2.72,0,743,499,1242,889,181,1070,30263,55,7,62,21,0,na,na,4981,48.5%,49920,4.86,18512,1.8,27013,29483,56496,5.5,1.87%,872,656,125,1164,,1289,1166,16190,,17356,1.69,48,1092,26,16,12,4233,307,14,high speed,no,,98,,,,"14 Depot St.
Lyndonville, VT 05851
(44.53516227200049, -72.00477846399963)",147,cobleighlibrary.org,Lyndonville
2008-2009,VT0211,"DANVILLE, N.",Brainerd Memorial,4215 Bruce Badger Meml. Hwy.,4216 Bruce Badger Meml. Hwy.,Caledonia,N/A,N/A,N/A,2334,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1800,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/R,,,,"4216 Bruce Badger Meml. Hwy.
N. Danville, VT 05828
(44.430848126000456, -72.11799841099963)",,N/A,N. Danville
2009-2010,VT0009,BARNET,Barnet Public,PO Box 34 ,147 Church St.,Caledonia,(802) 633-4436,16.5,12/31/2009,1758,0,0,18,0.45,7,0.18,25,0.63,4,2400,$0.00,$0.00,$0.00,$0.00,$0.00,$19500.00,$11.09,$2360.00,$21860.00,$100.00,$40.00,$0.00,$140.00,N/A,$3458.00,$100.00,$542.00,$4100.00,$2.33,$12421.00,$1039.00,$13460.00,$3678.00,$21238.00,$12.08,$140.00,$0 ,4371,3202,7573,4.31,0,170,155,325,196,34,230,8128,11,2,13,0,0,435,138,573,32.59%,2860,1.63,260,0.15,1594,2060,3654,2.08,0.45%,2,51,14,56,0,70,103,622,0,725,0.41,0,0,104,5,4,1,15,0,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,n/a,y-86,Municipal,No,n/a,"147 Church St.
Barnet, VT 05821
(44.296372276000454, -72.05279324299966)",34,N/A,Barnet
2010-2011,VT0080,JERICHO,Jericho Town,PO Box 1055,7 The Green,Chittenden,(802) 899-4686,17,06/30/2011,5009,0,0,16,0.4,0,0,16,0.4,55,2080,$0.00,$0.00,$0.00,$0.00,$0.00,$19981.00,$3.99,$4411.00,$24392.00,$100.00,$50.00,$0.00,$150.00,$0.00,$3733.00,$100.00,$0.00,$3833.00,$0.77,$12294.00,$996.00,$13290.00,$6765.00,$23888.00,$4.77,$8.00,$0 ,2690,4759,7449,1.49,0,384,371,755,15,33,48,8252,2,0,2,1,0,224,29,253,5.05%,6188,1.24,884,0.18,1348,4629,5977,1.19,0.72%,121,49,29,113,N/A,142,397,2323,N/A,2720,0.54,12,5,0,0,3,2,0,7,N/A,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,N/A,Municipal,Yes,Koha-Linux ByWater,"7 The Green
Jericho Center, VT 05465
(44.4811980500005, -72.96377980199964)",1055,http://www.jerichotownlibrary.org,Jericho Center
2009-2010,VT0079,JAMAICA,Jamaica Memorial Library,PO Box 266,17 Depot St.,Windham,(802) 874-4901,9.81,09/30/2010,903,10,0.25,N/A,NA,N/A,NA,0,0,2,1932,$10000.00,$0.00,$0.00,$5000.00,$15000.00,$10000.00,$11.07,$2000.00,$12000.00,$0.00,$0.00,$0.00,$0.00,$0.00,$800.00,$0.00,$1200.00,$2000.00,$2.21,$5760.00,$150.00,$5910.00,$4240.00,$12150.00,$13.46,$10000.00,$0 ,4688,2103,6791,7.52,0,95,87,182,214,35,249,7222,10,3,13,0,0,N/A,N/A,443,49.06%,1300,1.44,260,0.29,304,307,611,0.68,0.08%,0,55,14,11,4,29,35,106,9,150,0.17,0,0,0,2,2,0,6,2,"high speed (e.g. cable, ISDN, DSL, Frame Relay, satellite, etc.)",No,NA,No,Municipal,No,NA,"17 Depot St.
Jamaica, VT 05343
(43.1002868060005, -72.77831990099963)",266,www.jamaicavtlibrary.org,Jamaica
2008-2009,VT0125,READSBORO,Readsboro Community,301 Phelps Ln.,302 Phelps Ln.,Bennington,(802) 423-5460,38,12/31/2007,764,0,0,33,0.83,19,0.48,52,1.3,3,924,$0.00,$0.00,$0.00,$0.00,$0.00,$49920.00,$65.34,$375.00,$50295.00,,,,$0.00,N/A,$3072.00,$1387.00,$30.00,$4489.00,$5.88,N/A,N/A,$36117.00,$9689.00,$50295.00,$65.83,$0.00,$0 ,N/A,N/A,7432,9.73,0,N/A,N/A,736,N/A,N/A,550,8718,N/A,N/A,18,21,0,134,72,206,26.96%,4472,5.85,33,0.04,1457,2396,3853,5.04,44.2%,22,26,12,30,0,42,245,336,0,581,0.76,35,10,0,5,5,12,85,6,high speed,Children Only,sonic wall,86,Community,No,n/a,"302 Phelps Ln.
Readsboro, VT 05350
(42.77139173500046, -72.94080822499967)",248,www.readsborocommunitylibrary.org,Readsboro
