Town_ID,Town_Name,County,Type,Population,Square_KM,Square_MI,Altitude,Postal_Code,URL,Incorporated_Villages,Clerk_First_Name,Clerk_Last_Name,Mailing_Address,Mailing_City,Mailing_State,Mailing_Zip,Physical_Address,Physical_City,Physical_State,Physical_Zip,Office_Phone,Office_Fax,Clerk_Email,Clerk_Hours,Location 1
226,Waterbury,Washington,Town,4915,128.8,49.7,425,05676,http://www.waterburyvt.com/,Waterbury,Carla,Lawrence,51 South Main Street,Waterbury,VT,05676,51 South Main Street,Waterbury,VT,05676,802-244-8447,802-244-1014,clawrence@waterburyvt.com,M-F 8-4:30,"51 South Main Street
Waterbury, VT 05676
(44.336376836000056, -72.75504288599996)"
225,Washington,Orange,Town,1047,100.7,38.9,1260,05675,NULL,NULL,Carol,Davis,2895 VT Route 110,Washington,VT,05675,2894 VT Route 110,Washington,VT,05675,802-883-2218,802-883-2218,washingtontownclerk@gmail.com,M T 8:30-4:30; W Th by appt.,"2894 VT Route 110
Washington, VT 05675
(44.10873495300007, -72.43369419499999)"
188,South Burlington,Chittenden,City,15814,76.7,29.6,310,05403,http://www.sburl.com/,NULL,Donna,Kinville,575 Dorset Street,South Burlington,VT,05403,575 Dorset Street,South Burlington,VT,05403,802-846-4105,NULL,dkinville@sburl.com,M-F 8-4:30,"575 Dorset Street
South Burlington, VT 05403
(44.45410316400006, -73.17893855899996)"
109,Killington,Rutland,Town,1095,121.4,46.9,1240,05751,http://www.killingtontown.com/,NULL,Lucrecia,Wonsor,P.O. Box 429,Killington,VT,05751,2706 River Road,Killington,VT,05751,802-422-3243,802-422-3030,lucrecia@town.killington.vt.us,M-F 9-3,"2706 River Road
Killington, VT 05751
(43.67529893100004, -72.77942632199995)"
177,Salisbury,Addison,Town,1090,78.1,30.1,340,05769,http://townofsalisbury.org/,NULL,Ann,Dittami,P.O. Box 66,Salisbury,VT,05769,25 Schoolhouse Road,Salisbury,VT,05769,802-352-4228,802-352-9832,town.clerk@comcast.net,M 11-5; T 10-2; Th 12-7,"25 Schoolhouse Road
Salisbury, VT 05769
(43.89793360500005, -73.10342722699994)"
136,Mount Holly,Rutland,Town,1241,128.4,49.6,1540,05758,http://www.mounthollyvt.org/,NULL,Susan,Covalla,P.O. Box 248,Mount Holly,VT,05758,50 School Street,Mount Holly,VT,05758,802-259-2391,802-259-2391,mthollytc@yahoo.com,M-Th 8:30-4,"50 School Street
Mount Holly, VT 05758
(43.446281267000074, -72.82497677699996)"
51,Colchester,Chittenden,Town,16986,151.9,58.6,274,05446,http://www.colchestervt.gov/,NULL,Karen,Richard,P.O. Box 55,Colchester,VT,05446,781 Blakely Road,Colchester,VT,05446,802 264-5520,802 264-5503,krichard@colchestervt.gov,M-F 8-4,"781 Blakely Road
Colchester, VT 05446
(44.53593760200005, -73.20628011099996)"
244,Williamstown,Orange,Town,3225,104.5,40.3,870,05679,http://www.williamstownvt.org/,NULL,Deborah,Palmer,P.O. Box 646,Williamstown,VT,05679,2470 VT Route 14,Williamstown,VT,05679,802-433-5455,802-433-2160,clerk@williamstownvt.org,M-F 8-4:30,"2470 VT Route 14
Williamstown, VT 05679
(44.120635707000076, -72.54118752599999)"
204,Sutton,Caledonia,Town,1001,99.4,38.4,1152,05867,NULL,NULL,Dorreen,Devenger,P.O. Box 106,Sutton,VT,05867,167 Underpass Road,Sutton,VT,05867,802-467-3377,802-467-1052,duffyogden@yahoo.com,M T Th F 9-5; W 9-12:30,"167 Underpass Road
Sutton, VT 05867
(44.63476943000006, -72.02817660399995)"
18,Benson,Rutland,Town,1039,117.8,45.5,420,05731,http://www.benson-vt.com,NULL,Daphne,Bartholomew,P.O. Box 163,Benson,VT,05731,2760 Stage Road,Benson,VT,05731,802-537-2611,802-537-2612,townclerk@benson-vt.com,M-Th 8-12 and 1-4:30,"2760 Stage Road
Benson, VT 05731
(43.70902208900003, -73.31027414799996)"
138,New Haven,Addison,Town,1666,108.2,41.8,454,05472,http://newhavenvt.com/,NULL,Pam,Kingman,78 North Street,New Haven,VT,05472,78 North Street,New Haven,VT,05472,802-453-3516,802-453-7552,newhavenclerk@gmavt.net,M-F 9-3,"78 North Street
New Haven, VT 05472
(44.11195767600003, -73.14993721699994)"
159,Poultney,Rutland,Town,3633,116,44.8,430,05764,NULL,Poultney,Patricia,McCoy,"9 Main Street, Suite 2",Poultney,VT,05764,"9 Main Street, Suite 2",Poultney,VT,05764,802-287-5761,NULL,poultneytownclerk@comcast.net,M-F 8:30-12:30 and 1:30-4,"9 Main Street, Suite 2
Poultney, VT 05764
(43.516952364000076, -73.23302205799996)"
143,Newport,Orleans,Town,1511,112.6,43.5,792,05857,NULL,NULL,Denise,Daigle,P.O. Box 85,Newport Center,VT,05857,102 Vance Hill Road,Newport Center,VT,05857,802-334-6442,802-334-6442,nctownclerk@comcast.net,M-Th 7-4:30,"102 Vance Hill Road
Newport Center, VT 05857
(44.95150289400004, -72.30470925999998)"
154,Pittsfield,Rutland,Town,427,51.9,20.1,892,05762,http://www.pittsfieldvt.org,NULL,Patricia,Haskins,P.O. Box 556,Pittsfield,VT,05762,56 Village Green,Pittsfield,VT,05762,802-746-8170,NULL,townofpittsfield@myfairpoint.net,T 12-6; W Th 9-3,"56 Village Green
Pittsfield, VT 05762
(43.770874898000045, -72.81253799999996)"
56,Craftsbury,Orleans,Town,1136,102.9,39.7,904,05826,http://www.townofcraftsbury.com/,NULL,Yvette,Brown,P.O. Box 55,Craftsbury,VT,05826,85 South Craftsbury Rd,Craftsbury,VT,05826,802-586-2823,802-586-2323,craftsbury@gmail.com,T-F 8:30-4; and by appt.,"85 South Craftsbury Rd
Craftsbury, VT 05826
(44.634973384000034, -72.37206013199994)"
86,Granville,Addison,Town,303,135.3,52.2,950,05747,http://www.granvillevermont.org/,NULL,Kathy,Werner,P.O. Box 66,Granville,VT,05747,4801 VT Route 100,Granville,VT,05747,802-767-4403,802-767-3968,granvilletown@gmavt.net,M-Th 9-3,"4801 VT Route 100
Granville, VT 05747
(43.97732697500004, -72.84201826999998)"
162,Putney,Windham,Town,2634,69.4,26.8,580,05346,http://www.putneyvt.org,NULL,Anita,Coomes,PO Box 233,Putney,VT,05346,127 Main Street,Putney,VT,05346,802-387-5862,802-387-4708,putneytc@putneyvt.org,M Th F 9-2; W 9-2 and 7-9 p.m.; Sat 9-12,"127 Main Street
Putney, VT 05346
(42.97462631900004, -72.52177725999996)"
106,Jay,Orleans,Town,426,88,34,922,05859,http://www.jayvt.com/,NULL,Tara,Morse,1036 VT Route 242,Jay,VT,05859,1036 VT Route 242,Jay,VT,05859,802-988-2996,802-988-2996,townofjay@comcast.net,M-Th 7-4,"1036 VT Route 242
Jay, VT 05859
(44.94797691200006, -72.43838662499996)"
217,Waitsfield,Washington,Town,1659,69.7,26.9,800,05673,http://www.waitsfieldvt.us/,NULL,Jennifer,Peterson,9 Bridge Street,Waitsfield,VT,05673,9 Bridge Street,Waitsfield,VT,05673,802-496-2218,802-496-9284,waitsfld@madriver.com,M-F 8-4:30,"9 Bridge Street
Waitsfield, VT 05673
(44.190034741000034, -72.82409452599995)"
184,Sheldon,Franklin,Town,1990,101.8,39.3,374,05483,NULL,NULL,Paulette,Bocash,P.O. Box 66,Sheldon,VT,05483,1640 Main Street,Sheldon,VT,05483,802-933-2524,802-933-4951,tc@sheldonvt.com,M 8-6; T W F 8-3; Th 8:30-3,"1640 Main Street
Sheldon, VT 05483
(44.88064217200008, -72.94634816999996)"
139,Newark,Caledonia,Town,470,96.3,37.2,1738,05871,NULL,NULL,Joan,Bicknell,1336 Newark Street,Newark,VT,05871,1336 Newark Street,Newark,VT,05871,802-467-3336,NULL,tclerknewark@kingcon.com,M W Th 9-4,"1336 Newark Street
Newark, VT 05871
(44.68792188600003, -71.95154179699995)"
142,Newport,Orleans,City,5005,19.7,7.6,722,05855,http://www.newportvermont.org/,NULL,James,Johnson,222 Main Street,Newport,VT,05855,222 Main Street,Newport,VT,05855,802-334-2112,802-334-5632,newportcityclerkjim@comcast.net,M-F 8-4:30,"222 Main Street
Newport, VT 05855
(44.93533638000008, -72.21073952499995)"
27,Brattleboro,Windham,Town,12005,84,32.4,310,05301,http://www.brattleboro.org/,NULL,Annette,Cappy,"230 Main Street, Suite 108",Brattleboro,VT,05301,"230 Main Street, Suite 108",Brattleboro,VT,05301,802-251-8157,802-257-2312,townclerk@brattleboro.org,M-F 8:30-5,"230 Main Street, Suite 108
Brattleboro, VT 05301
(42.85567396300007, -72.56004569199996)"
47,Chelsea,Orange,Town,1250,103.4,39.9,840,05038,http://www.chelseavt.org/,NULL,Karen,Lathrop,P.O. Box 266,Chelsea,VT,05038,296 VT Route 110,Chelsea,VT,05038,802-685-4460,802-685-4460,town.clerk@chelseavt.us,"M 8:30-2:30 and 4:15-6, T-F 8:30-2:30","296 VT Route 110
Chelsea, VT 05038
(43.98917243200003, -72.44766364599997)"
158,Pomfret,Windsor,Town,997,102.2,39.5,1333,05067,http://pomfretvt.us/,NULL,Lynne,Leavitt,5218 Pomfret Road,North Pomfret,VT,05053,5218 Pomfret Road,North Pomfret,VT,05053,802-457-3861,NULL,clerk@pomfretvt.us,M W F 8:30-2:30,"5218 Pomfret Road
North Pomfret, VT 05053
(43.70570534400008, -72.51491196499995)"
193,St. George,Chittenden,Town,698,9.3,3.6,643,05495,http://www.stgeorgevt.com/,NULL,Barbara,Young,1 Barber Road,St George,VT,05495,1 Barber Road,St George,VT,05495,802-482-5272,802-482-5548,stgeorgevtclerk@comcast.net,M W F 8-12; T 9-12; Th 9-12 and 4:30-6:30,"1 Barber Road
St George, VT 05495
(44.37894212600003, -73.12669064499994)"
64,East Haven,Essex,Town,301,96.9,37.4,1020,05837,NULL,NULL,Franklin,Higgins,P.O. Box 10,East Haven,VT,05837,64 Community Building Road,East Haven,VT,05837,802-467-3772,NULL,tclerk1790@kingcon.com,T 1-6; Th 8-1; and by appt.,"64 Community Building Road
East Haven, VT 05837
(44.64002498800005, -71.89147334599994)"
53,Corinth,Orange,Town,1461,125.8,48.6,1000,05039,http://www.corinthvt.org/,NULL,Nancy,Ertle,P.O. Box 461,Corinth,VT,05039,1387 Cookeville Rd,Corinth,VT,05039,802-439-5850,802-439-5850,corino@tops-tele.com,"M 8-4; T 8-6, Th 9-3; 1st Sat. 10-12","1387 Cookeville Rd
Corinth, VT 05039
(44.023903277000045, -72.28985535199996)"
168,Ripton,Addison,Town,556,128.3,49.5,1025,05766,http://www.riptonvt.org/,NULL,Sally,Hoyler,P.O. Box 10,Ripton,VT,05766,1311 Route 125,Ripton,VT,05766,802-388-2266,802-388-0012,townclerk@riptonvt.org,M 2-6; T-Th 9-1,"1311 Route 125
Ripton, VT 05766
(43.954721437000046, -72.99516290499997)"
3,Alburgh,Grand Isle,Town,1952,126.4,48.8,124,05440,http://www.alburghvt.org/,Alburgh,Carol,Cleland,1 North Main Street,Alburgh,VT,05440,1 North Main Street,Alburgh,VT,05440,802-796-3468,802-796-3939,townofalburgh@fairpoint.net,M-F 9-12 and 1-5,"1 North Main Street
Alburgh, VT 05440
(44.97688881500005, -73.29997769799996)"
11,Barnard,Windsor,Town,958,126.6,48.9,1334,05031,NULL,NULL,Diane,Rainey,P.O. Box 274,Barnard,VT,05031,115 North Road,Barnard,VT,05031,802-234-9211,NULL,barnardto@gmail.com,M-W 8-3:30,"115 North Road
Barnard, VT 05031
(43.729839886000036, -72.61797550799997)"
227,Waterford,Caledonia,Town,1104,102.9,39.7,816,05848,NULL,NULL,Joanne,Jurentkuff,PO Box 56,Lower Waterford,VT,05848,532 Maple Street,Waterford,VT,05848,802-748-2122,802-748-8196,townofwaterford@gmail.com,M Th F 8:30-3:30; T 12-6,"532 Maple Street
Waterford, VT 05848
(44.42088626800006, -72.01803227099998)"
215,Vershire,Orange,Town,629,94.6,36.5,1200,05079,http://vershirevt.org/,NULL,Gene,Craft,6894 VT Route 113,Vershire,VT,05079,6894 VT Route 113,Vershire,VT,05079,802-685-2227,802-685-2224,clerk-treasurer@vershirevt.org,T-Th 9-4; 1st Sat 10-12,"6894 VT Route 113
Vershire, VT 05079
(43.97035682200004, -72.32325293099996)"
26,Brandon,Rutland,Town,3917,104.1,40.2,421,05733,http://www.town.brandon.vt.us/,NULL,William,Dick,49 Center Street,Brandon,VT,05733,49 Center Street,Brandon,VT,05733,802-247-5721,802-247-5481,wadick@sover.net,M-F 8:30-4,"49 Center Street
Brandon, VT 05733
(43.799554089000026, -73.08901333399996)"
104,Isle La Motte,Grand Isle,Town,488,43.1,16.7,210,05463,http://www.islelamotte.us/,NULL,Betsy,Howland,P.O. Box 250,Isle La Motte,VT,05463,2272 Main Street,Isle La Motte,VT,05463,802-928-3434,802-928-3002,islemott@fairpoint.net,T Th 7:30-3:30; W F 1-5; Sat 8-12,"2272 Main Street
Isle La Motte, VT 05463
(44.877888218000066, -73.33840860099997)"
67,Elmore,Lamoille,Town,849,102.6,39.6,1154,05657,http://www.elmorevt.org/,NULL,Sharon,Draper,P.O. Box 123,Lake Elmore,VT,05657,1175 VT Route 12,Elmore,VT,05657,802-888-2637,802-888-2637,mccorkill@aol.com,T-Th 9-3; and by appt.,"1175 VT Route 12
Elmore, VT 05657
(44.54084822800007, -72.52340418399996)"
15,Barton,Orleans,Town,2780,116.3,44.9,931,05822,http://sites.google.com/site/townofbarton/,"Barton, Orleans",Grace,Mason,34 Main St,Barton,VT,05822,34 Main St,Barton,VT,05822,802-525-6222,802-525-8856,bartontown@comcast.net,M-Th 7:30-4; F 7:30-12,"34 Main St
Barton, VT 05822
(44.746124793000035, -72.17473647999998)"
150,Panton,Addison,Town,682,57,22,200,05491,http://www.pantonvt.us/,NULL,Susan,Torrey,3176 Jersey Street,Panton,VT,05491,3176 Jersey Street,Panton,VT,05491,802-475-2333,802-475-2785,panton@gmavt.net,M T Th F 8:30-3:30,"3176 Jersey Street
Panton, VT 05491
(44.14760196300006, -73.34151399999996)"
78,Franklin,Franklin,Town,1268,105.6,40.8,452,05457,http://www.franklinvermont.com,NULL,Lisa,Larivee,P.O. Box 82,Franklin,VT,05457,5167 Main St,Franklin,VT,05457,802-285-2101,802-285-2181,townoff@franklinvt.net,M T F 8:30-3:30; W 8:30-12; Th 8:30-6,"5167 Main St
Franklin, VT 05457
(44.98158321100004, -72.91561220499995)"
171,Roxbury,Washington,Town,576,108.3,41.8,1007,05669,http://www.roxbury.govoffice2.com,NULL,Tammy,Legacy,P.O. Box 53,Roxbury,VT,05669,1664 Roxbury Road,Roxbury,VT,05669,802-485-7840,802-485-9160,townrox@tds.net,T-F 9-12 and 1-4,"1664 Roxbury Road
Roxbury, VT 05669
(44.09111941300006, -72.73387662199997)"
253,Woodford,Bennington,Town,414,123.3,47.6,2215,05201,http://woodfordvt.org/town-government,NULL,Ron,Higgins,1391 VT Route 9,Woodford,VT,05201,1391 VT Route 9,Woodford,VT,05201,802-442-4895,802-442-4816,info@woodfordvt.org,M W F 8:30-11 and 12:30-4; T Th 8:30-4; Sat 9-12 at tax and election time; and by appt.,"1391 VT Route 9
Woodford, VT 05201
(42.89648663200006, -73.13023275899997)"
112,Leicester,Addison,Town,974,57,22,440,05733,http://www.leicestervt.org,NULL,Julie,Delphia,44 Schoolhouse Road,Leicester,VT,05733,44 Schoolhouse Road,Leicester,VT,05733,802-247-5961 x3,802-247-6501,leicestervt@comcast.net,M W Th 9-2; and by appt.,"44 Schoolhouse Road
Leicester, VT 05733
(43.86630347000005, -73.10876805299995)"
102,Ira,Rutland,Town,455,55.2,21.3,830,05777,http://www.townofira.com/,NULL,Candace,Slack,P.O. Box 870,West Rutland,VT,05777,53 West Road,Ira,VT,05777,802-235-2745,802-235-1045,iraclerk@vermontel.com,M 9:30-2:30; T 2:15-7:15,"53 West Road
Ira, VT 05777
(43.534719633000066, -73.06636998599998)"
152,Peacham,Caledonia,Town,665,123.5,47.7,1310,05862,http://www.peacham.net,NULL,Bruce,Lafferty,P.O. Box 244,Peacham,VT,05862,79 Church Street,Peacham,VT,05862,802-592-3218,802-592-3218,townclerk@peacham.net,M T Th F 8:30-12:30; W 8:30-12:30 and 3-6:30,"79 Church Street
Peacham, VT 05862
(44.327795793000064, -72.17124160899994)"
180,Shaftsbury,Bennington,Town,3767,111.8,43.2,833,05262,http://www.shaftsbury.net/,NULL,Judith,Stratton,P.O. Box 409,Shaftsbury,VT,05262,61 Buck Hill Road,Shaftsbury,VT,05262,802-442-4038,802-442-0955,shaftsburyclerk@comcast.net,M 9-5; T-F 9-3,"61 Buck Hill Road
Shaftsbury, VT 05262
(42.946296318000066, -73.20983008199994)"
28,Bridgewater,Windsor,Town,980,128.3,49.6,820,05034,NULL,NULL,Nancy,Robinson,7335 US Route 4,Bridgewater,VT,05034,7335 US Route 4,Bridgewater,VT,05034,802-672-3334,802-672-5395,twnbridg@comcast.net,M-Th 8-4,"7335 US Route 4
Bridgewater, VT 05034
(43.58764183400007, -72.62410647999997)"
1,Addison,Addison,Town,1393,126.8,49,289,05491,http://www.addisonvt.org/,NULL,Jane,Grace,7099 VT Rte 22A,Addison,VT,05491,66 VT Rte 17W,Addison,VT,05491,802-759-2020,802-759-2233,addisontown@gmavt.net,M-F 8:30-12 and 1:00-4:30,"66 VT Rte 17W
Addison, VT 05491
(44.12721733500007, -73.29035910499994)"
212,Underhill,Chittenden,Town,2980,133.1,51.4,706,05490,http://www.underhillvt.gov,NULL,Sherri,Morin,P.O. Box 32,Underhill Center,VT,05490,12 Pleasant Valley Road,Underhill,VT,05489,802-899-4434 x101,802-899-2137,underhillclerk@comcast.net,M-F 8-4,"12 Pleasant Valley Road
Underhill, VT 05489
(44.507752253000035, -72.89882461099995)"
228,Waterville,Lamoille,Town,697,42.5,16.4,394,05492,NULL,NULL,Nancy,LaRose,P.O. Box 31,Waterville,VT,05492,850 VT Route 109,Waterville,VT,05492,802-644-8865,802-644-8865,townofwaterville@myfairpoint.net,M T Th 9-1:30,"850 VT Route 109
Waterville, VT 05492
(44.69390949700005, -72.76637357099997)"
246,Wilmington,Windham,Town,2225,106.9,41.3,1580,05363,http://www.wilmingtonvermont.us/,NULL,Susan,Haughwout,P.O. Box 217,Wilmington,VT,05363,2 East Main Street,Wimington,VT,05363,802-464-5836,802-464-1238,wilmclrk@sover.net,M-W 8:30-12 and 1-4; Th F 8:30-4,"2 East Main Street
Wimington, VT 05363
(42.868162393000034, -72.87069049899998)"
255,Worcester,Washington,Town,902,100.6,38.8,780,05682,http://www.worcestervt.org/,NULL,Sandra,Ferver,P.O. Box 161,Worcester,VT,05682,20 Worcester Village Road,Worcester,VT,05682,802-223-6942 x1,802-229-5216,worcesterclerk@comcast.net,M 8:30-12; T-Th 8:30-12 and 1-4:30,"20 Worcester Village Road
Worcester, VT 05682
(44.372371815000065, -72.55042413899997)"
30,Brighton,Essex,Town,1260,138.3,53.4,1280,05846,http://brightonvt.org/,NULL,Lucille,Stevens,P.O. Box 377,Island Pond,VT,05846,49 Mill Street Ext 1,Island Pond,VT,05846,802-723-4405,802-723-4405,brightonclerk@comcast.net,M-F 8-3:30,"49 Mill Street Ext 1
Island Pond, VT 05846
(44.81414720500004, -71.88029876699994)"
117,Lowell,Orleans,Town,738,145.2,56.1,996,05847,NULL,NULL,Nanette,Bonneau,2170 VT Route 100,Lowell,VT,05847,2170 VT Route 100,Lowell,VT,05847,802-744-6559,802-744-2357,kclinger@lowelltown.org,M Th 9-2:30,"2170 VT Route 100
Lowell, VT 05847
(44.80598122400005, -72.44741590599995)"
169,Rochester,Windsor,Town,1171,145.6,56.2,878,05767,http://www.rochestervermont.org/,NULL,Joanne,McDonnell,P.O. Box 238,Rochester,VT,05767,67 School Street,Rochester,VT,05767,802-767-3631,802-767-6028,rochestertown@comcast.net,T-F 8-4,"67 School Street
Rochester, VT 05767
(43.87554707400005, -72.80709260799995)"
85,Grand Isle,Grand Isle,Town,1955,91,35.1,160,05458,http://www.grandislevt.org,NULL,Cheryl,Vantine,P.O. Box 49,Grand Isle,VT,05458,9 Hyde Road,Grand Isle,VT,05458,802-372-8830,802-372-8815,clerk@town.grand-isle.vt.us,M W Th F 8:30-3:30; T 8:30-3:30 and 5-7 p.m.; Sat. 10-12,"9 Hyde Road
Grand Isle, VT 05458
(44.722292148000065, -73.29524758099996)"
189,South Hero,Grand Isle,Town,1696,123,47.5,240,05486,http://www.southherovt.org/,NULL,Sharon,Roy,P.O. Box 175,South Hero,VT,05486,333 US Route 2,South Hero,VT,05486,802-372-5552,802-372-3809,southherotc@aol.com,M-W 8:30-12 and 1-4:30; Th 8:30-12 and 1-5,"333 US Route 2
South Hero, VT 05486
(44.64545223500005, -73.30617812599996)"
48,Chester,Windsor,Town,3044,144.9,55.9,623,05143,http://www.chester.govoffice.com,NULL,Deborah,Aldrich,P.O. Box 370,Chester,VT,05143,556 Elm Street,Chester,VT,05143,802-875-2173,802-875-2237,tcchester@vermontel.net,M-F 8-5,"556 Elm Street
Chester, VT 05143
(43.268322212000044, -72.58936089299993)"
213,Vergennes,Addison,City,2741,6.5,2.5,203,05491,http://www.vergennes.org/,NULL,Joan,Devine,P.O. Box 35,Vergennes,VT,05491,120 Main Street,Vergennes,VT,05491,802-877-2841,802-877-1160,clerk@vergennes.org,M-F 8-4:30,"120 Main Street
Vergennes, VT 05491
(44.16838567000008, -73.25088357899995)"
123,Marlboro,Windham,Town,978,105.3,40.7,1736,05344,http://www.marlboro.vt.us,NULL,Nora,Wilson,P.O. Box E,Marlboro,VT,05344,510 South Road,Marlboro,VT,05344,802-254-2181,802-257-2447,marlborotownclerk@gmail.com,M W Th 9-4,"510 South Road
Marlboro, VT 05344
(42.87078849100004, -72.97079520699998)"
174,Rutland,Rutland,City,17292,19.8,7.6,540,05702,http://rutland.govoffice.com/,NULL,Henry,Heck,P.O. Box 969,Rutland,VT,05701,1 Strongs Avenue,Rutland,VT,05701,802-773-1800,802-773-1846,henryh@rutlandcity.com,M-F 8:30-5,"1 Strongs Avenue
Rutland, VT 05701
(43.60533532300008, -72.97862253199997)"
59,Derby,Orleans,Town,4604,149.2,57.6,1011,05829,http://derbyvt.org/,"Derby Center, Derby Line",Nicole,Daigle,P.O. Box 25,Derby,VT,05829,124 Main St,Derby,VT,05829,802-766-4906,802-766-2027,derbytownclerk@derbyvt.org,M-Th 7-5,"124 Main St
Derby, VT 05829
(44.95234521200007, -72.13141298799997)"
126,Middlebury,Addison,Town,8183,101.4,39.2,370,05753,http://www.middlebury.govoffice.com/,NULL,Ann,Webster,94 Main Street,Middlebury,VT,05753,94 Main Street,Middlebury,VT,05753,802-388-8100 x211,802-388-4261,awebster@townofmiddlebury.org,M-Th 7:30-5:30,"94 Main Street
Middlebury, VT 05753
(44.01111303000005, -73.17051076999996)"
118,Ludlow,Windsor,Town,2449,92.5,35.7,1067,05149,http://www.ludlow.vt.us/,Ludlow,Ulla,Cook,P.O. Box 307,Ludlow,VT,05149,37 Depot Street,Ludlow,VT,05149,802-228-3232,802-228-8399,treasure@ludlow.vt.us,M-F 8:30-4:30,"37 Depot Street
Ludlow, VT 05149
(43.395678160000045, -72.70106885399997)"
129,Milton,Chittenden,Town,9479,157.7,60.9,320,05468,http://miltonvt.org/,NULL,John,Cushing,P.O. Box 18,Milton,VT,05468,43 Bombardier Road,Milton,VT,05468,802-893-7344,802-893-1005,Jcushing@town.milton.vt.us,M-F 8-5,"43 Bombardier Road
Milton, VT 05468
(44.61954317800007, -73.12379956999996)"
240,Weybridge,Addison,Town,824,45.5,17.6,180,05753,http://weybridge.govoffice.com,NULL,Karen,Brisson,1727 Quaker Village Road,Weybridge,VT,05752,1727 Quaker Village Road,Weybridge,VT,05753,802-545-2450,802-545-2624,curavoo@gmavt.net,M T Th F 9-2,"1727 Quaker Village Road
Weybridge, VT 05753
(44.06348884700003, -73.21516860399998)"
239,Weston,Windsor,Town,630,91.1,35.2,1300,05161,http://westonvt.org/,NULL,Jean,DeCell,P.O. Box 98,Weston,VT,05161,12 Lawrence Hill Road,Weston,VT,05161,802-824-6645,802-824-4121,clerk@westonvt.org,M-F 8-1  ,"12 Lawrence Hill Road
Weston, VT 05161
(43.291442747000076, -72.79400844799994)"
111,Landgrove,Bennington,Town,144,23.6,9.1,1360,05148,http://landgrove.vermont.gov,NULL,Chrystal,Cleary,88 Landgrove Road,Londonderry,VT,05148,88 Landgrove Road,Landgrove,VT,05148,802-824-3716,802-824-3716,townoflandgrove@gmail.com,Th 9-1; and by appt.,"88 Landgrove Road
Landgrove, VT 05148
(43.266207775000055, -72.85749226299998)"
145,Northfield,Washington,Town,5791,113.3,43.7,735,05663,http://www.northfield-vt.gov/,Northfield,Kim,Pombar,51 South Main Street,Northfield,VT,05663,51 South Main Street,Northfield,VT,05663,802-485-5421,802-485-8426,kpedley@northfield.vt.us,M-F 8-4:30,"51 South Main Street
Northfield, VT 05663
(44.14802715500008, -72.65627274599996)"
192,St. Albans,Franklin,Town,5086,156.8,60.6,180,05481,http://www.stalbanstown.com,NULL,Anna,Bourdon,P.O. Box 37,St Albans Bay,VT,05481,579 Lake Road,St Albans Bay,VT,05478,802-524-2415,802-524-9609,stalbtwn@comcast.net,M-F 8-4,"579 Lake Road
St Albans Bay, VT 05478
(44.80856461700006, -73.13875517199995)"
25,Braintree,Orange,Town,1194,99.3,38.3,777,05060,http://www.braintreevt.com,NULL,Richard,Liebert,932 VT Route 12A,Braintree,VT,05060,932 VT Route 12A,Braintree,VT,05060,802-728-9787,802-728-9787,braintreetownclerk@comcast.net,T 9-12 and 1-5; W Th 9-12 and 1-4; and by appt.,"932 VT Route 12A
Braintree, VT 05060
(43.931226484000035, -72.68949072599997)"
31,Bristol,Addison,Town,3788,109.2,42.2,570,05443,http://www.bristolvt.org/,NULL,Therese,Kirby,P.O. Box 249,Bristol,VT,05443,6 South Street,Bristol,VT,05443,802-453-2486,802-453-5188,bristoltown@gmavt.net,M-F 8-4:30,"6 South Street
Bristol, VT 05443
(44.13925734500003, -73.04528775899996)"
22,Bloomfield,Essex,Town,261,104.7,40.4,261,05905,NULL,NULL,Paulette,Routhier,P.O. Box 336,North Stratford,NH,05905,27 Schoolhouse Rd,Bloomfield,VT,05905,802-962-5191,802-962-5191,townofbloomfieldvt@gmail.com,T Th 9-3; and by appt.,"27 Schoolhouse Rd
Bloomfield, VT 05905
(44.75444542000008, -71.62863210299997)"
156,Plainfield,Washington,Town,1286,54.5,21.1,780,05667,http://www.plainfieldvt.us/,NULL,Linda,Wells,P.O. Box 217,Plainfield,VT,05667,149 Main Street,Plainfield,VT,05667,802-454-8461,802-454-8467,plainfieldtc@gmail.com,M W F 7:30-12 and 12:30-4,"149 Main Street
Plainfield, VT 05667
(44.27788602600003, -72.42845671899994)"
132,Montpelier,Washington,City,8035,26.6,10.3,523,05602,http://www.montpelier-vt.org/,NULL,Charlotte,Hoyt,39 Main Street,Montpelier,VT,05602,39 Main Street,Montpelier,VT,05602,802-223-9500,802-223-9523,jodum@montpelier-vt.org,M-F 8-4:30,"39 Main Street
Montpelier, VT 05602
(44.259478157000046, -72.57581697299997)"
20,Berlin,Washington,Town,2864,95.6,36.5,589,05602,http://www.berlinvt.org/,NULL,Rosemary,Morse,108 Shed Road,Berlin,VT,05602,108 Shed Road,Berlin,VT,05602,802-229-9298,802-229-9530,townclerk@berlinvt.org,M-Th 8:30-3:30,"108 Shed Road
Berlin, VT 05602
(44.21193270400005, -72.57813421199995)"
160,Pownal,Bennington,Town,3560,121,46.7,385,05261,http://www.pownal.org/TownOffice/TownOffice.html,NULL,Karen,Burrington,P.O. Box 411,Pownal,VT,05261,467 Center Street,Pownal,VT,05261,802-823-7757,802-823-0116,powclerk@sover.net,M W Th F 9-2; T 9-4; and by appt.,"467 Center Street
Pownal, VT 05261
(42.79550175600008, -73.22400502799997)"
