Dataset name,Data system name,Organization/Agency,Organization Collecting or Managing,Website,Contact Name,Contact email,Contact phone,Description,Purpose,Source Dataset,Type of Data,Data collection method,Years collected,Data Storage format,Data Storage Location,Database Size,Is the dataset available to the public?,Data user / Audience,Data output format,Use Restriction Details,Type of Use Restriction,Special Request Possible,Special Request Cost,Special Request Contact Info,Metadata,Data Documentation,Metadata Format,Acquisition cost,Operations and Management Cost,FTE,Funding -%Federal,Funding: %State,Funding: %Private,Funding: %Foundation,VHCIP Priority,Is Data Related to Payment Reform,Comments,Last Updated By,VT HIT Inv: Integrated systems,VT HIT Inv: Integrated data feeds,VT HIT Inv: Divisions served,VT HIT Inv: Where is data stored
Special Services Requests and Payment Log [Excel],Special Services Requests and Payment Log [Excel],Department of Mental Health / ,,,Aimee Ziter,aimee.ziter@vermont.gov,,"This spreadsheet tracks the special services requests process.  The process begins with a request for a special services and documents the workflow through to the payment for services. Receive & track all Adult Special Services requests, pre-authorizations, denials & payments through Excel Logs/Spreadsheets..  To Document the workflow through the paper processs. The Department administers an Adult Special Services Fund for one-time expenses for CRT clients.  It is earmarked for un?met needs and service costs that might have a negative effect on overall treatment stability when no other funding source is available. Such needs might include dental work, eye?glasses, personal needs, adaptive devices, respite, car repair, utility costs, and household furnishings. The guidelines for using the CRT Special Services fund are: CRT clients only, there is a limit of $3,000 per client, per state fiscal year (July 1-June 30), the fund is to be used only for expenditures for which no other funding source is avail?able. It is expected that alternative resources will be explored and denied prior to a request for Special Services funding. This fund does not limit the types of funding requests, but distributes available funds in the following priority order: unmet health needs, safety, stability, personal care, access, self-development, other needs.",,,"Services Provided
Clinical
Financial",,,Excel,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,,,DMH-Fin,
Reach Up Excel Set [Excel],Reach Up Excel Set [Excel],Department for Children and Families (DCF) / ,,,"Oalican, Erin",erin.oalican@vermont.gov,,"There are over 30 spreadsheets that RU maintains to keep track of various things.  Some are held in the districts, and are used to track work participation rates, community service placements, clients with 60 countable months, support services budget, etc.  Many are held in central office to track PSE participants, folks requesting medical deferments, certain support services and more.  They are all outlined in the WORD document IE.Reach Up Applications.  Keeping track of things that have limitations (such as support services money), budgeting, using data for reports, tracking and keeping organized",,,"Workforce
Financial",,,Excel,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,SA/MH Data Collection [Access],,DCF-ESD,
Nursing Home Rate Setting Data,Nursing Home Rate Setting Data,AHS Division of Ratesetting / Division of Ratesetting,,,Kathleen Denette,kathleen.denette@state.vt.us,,Excel spreadsheets are used as cost report templates for nursing homes and PNMI facilities. They are used for original analysis and to create standard forms and templates for all sorts of calculations..  Receive and download cost data for analysis into templates to determine allowable costs and to produce findings on allowable costs.,,,Financial,,,Excel,,,No access to data,,"Report (PDF, Word)",,None,No,,,Low,,,,,,,,,,Low,No,,Barbara Patterson,,VISION,AHS-Fiscal,
Event Reporting [Excel],Event Reporting [Excel],Department of Mental Health / ,,, Emma Harrigan,emma.harrigan@state.vt.us,,"To track critical incidents occuring in Desiganted Hospitals.  Tracks basic demographic information, type of incident, and provides a look-up log for where to find incidents within stored documentation.  Supports quality management unit in tehir review of critical incdient reports.",,,Clinical,,,Excel,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,,,DMH-CAFU,
EIP Data [Excel],EIP Data [Excel],Department of Mental Health / ,,, Emma Harrigan,emma.harrigan@state.vt.us,,"To track episocdes and procedures of emergency involuntar procedures occuring in Desiganted Hospitals for patients in the care and custody of the commissioner of mental heatlh.  Tracks basic demographic information, type and duration of procedure, and provides a look-up log for where to find procedures within stored documentation.  Supports quality management unit and DMH medical director in their quarterly reporting.",,,Clinical,,,Excel,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,,,DMH-Quality,
ECT Data [Excel],ECT Data [Excel],Department of Mental Health / ,,, Emma Harrigan,emma.harrigan@state.vt.us,,"To track episodes of electroconvulsive therapy treatments being conducted in Designated Hospitals.  Tracks basic demographic information, diagnosis, pre/post outcomes, adverse side effects..  Supports quality management unit and DMH medical director in their annual reporting.",,,Clinical,,,Excel,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,,,DMH-Quality,
DVHA Detox Inpatient/SA Residential Programs,DVHA Detox Inpatient/SA Residential Programs,Department of Vermont Health Access (AHS DVHA) / ,,,"Mitchell, Megan",megan.mitchell@state.vt.us,,"data collection on psychiatric inpatient admissions, reporting out on costs, utilization patterns, outcomes.  collect data on admissions in order to report out on trends in utilization and to verify claims/costs",,,"Utilization
Services Provided
Clinical
Financial",,,Excel,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,"MMIS, InterQual, Providerlink",,"DVHA-HSMC, VDH-ADAP",
DVHA Children Inpatient [Excel],DVHA Children Inpatient [Excel],Department of Vermont Health Access (AHS DVHA) / ,,,"Mitchell, Megan",megan.mitchell@state.vt.us,,"data collection on psychiatric inpatient admissions, reporting out on costs, utilization patterns, outcomes.  collect data on admissions in order to report out on trends in utilization and to verify claims/costs",,,"Utilization
Services Provided
Clinical
Financial",,,Excel,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,"MMIS, InterQual, Providerlink",,"DAIL-DDSD, DVHA-HSMC, DMH-CAFU, DCF-FSD",
DVHA Adult Inpatient [Excel],DVHA Adult Inpatient [Excel],Department of Vermont Health Access (AHS DVHA) / ,,,"Mitchell, Megan",megan.mitchell@state.vt.us,,"data collection on psychiatric inpatient admissions, reporting out on costs, utilization patterns, outcomes.  collect data on admissions in order to report out on trends in utilization and to verify claims/costs",,,"Services Provided
Clinical
Financial",,,Excel,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,"MMIS, InterQual, Providerlink",,"DVHA-HSMC, DMH-CAFU",
CRC [Excel] (Case Review Committee Data for Youth Placed in Residential Programs),CRC [Excel] (Case Review Committee Data for Youth Placed in Residential Programs),Department of Mental Health / ,,,"MacKinnon, Jessie",jessie.mackinnon@state.vt.us,,"Data tracking of the Case Review Committee of youth that have been presented for review from DMH, DCF, AOE, DAIL, DOC, and AHS. Youth are cleared for instate or out of state residential placements. Data is tracking the following: 1. Behaviors of kids admitted ? rank order of prevalence<br />2. Behaviors broken down by Age & Gender<br />3. #kids admitted, broken down by:<br />a. Region<br />b. Fiscal custody (e.g. DMH, DCF, DAIL)<br />c. Custody status (e.g. birth parent, adopted, guardian, DCF)<br />d. Program referred to<br />e. IEP Status (see below)<br />4. Where referred, broken down by:<br />a. Fiscal Custody, Age, Gender     <br />b. behaviors<br />5. Length of Stay (LOS) in ranges (0-12 months, 12-18 mo, 18-24 mo, 24+ mo), broken down by:<br />a. Age<br />b. Program<br />c. Fiscal custody<br />6. Program where placed by Discharge (D/C) Disposition & D/C Location.  When data is tracked it can be queried and trends can be looked at for example: why are there so many youth being placed out of state? Through the High End of System of Care specific trends can be addressed and worked through. Data can be pulled and given to legislaters during our discussions of the trends and the needs of children in VT.",,,"Youth
Population",,,Excel,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,Barbara Patterson,,,DMH-CAFU,
CY2013 VT Medicaid EHRIP Annual Report,CY2013 VT Medicaid EHRIP Annual Report,Department of Vermont Health Access (DVHA) / Blueprint for Health Program,,http://hcr.vermont.gov/sites/hcr/files/pdfs/EHRIP/2014_05_08_VT%20Medicaid_EHRIP_AnnualReport_2013.xls,Casey O'Hara,casey.ohara@vermont.gov,,"The 2013 Annual Report uses a CMS-prescribed format and satisfies the annual reporting requirements for EHR Incentive Payments as defined by Federal Rule.<br /> <br />In addition to payment summaries, this report contains federally-defined, aggregate Meaningful Use (MU) and Clinical Quality Measure (CQM) data for all Medicaid EHR incentive payments made by the State of Vermont to Eligible Professionals in Calendar Year 2013. ",,,Financial,,2013,First Choice,,,Aggregate data only,,MS Excel,,None,No,,,Low,Full current documentation,,,,,,,,,Low,Yes,,Tim Tremblay,First Choice,,First Choice,
VCCU Financial Source Data,VCCU Financial Source Data,Vermont Coalition for Clinics for the Uninsured (VCCU) / ,,http://www.vccu.net/2012%20VCCU%20Annual%20Report.pdf,Lynn Raymond-Empey,vccu@comcast.net,(802) 732-8253,"Contains yearly funding source information for the member clinics of VCCU. Includes all financial support (including in-kind contributions) and how it's spent-- staffing, insurance costs, client test costs, dental costs, etc.",,,Financial,,,First Choice,,,Aggregate data only,,,,None,No,,,Low,Not applicable,,,,,,,,,Low,No,,Barbara Patterson,First Choice,,First Choice,
VCCU Patient Surveys,VCCU Patient Surveys,Vermont Coalition for Clinics for the Uninsured (VCCU) / ,,http://www.vccu.net/2012%20VCCU%20Annual%20Report.pdf,Lynn Raymond-Empey,vccu@comcast.net,(802) 732-8253,"VCCU clinics survey 10% of all new clients every year. These surveys take place 3 months after their initial visit, and ask clients if if they were insured when they came to a VCCU clinic, and about their current level of insurance. The survey also inquires about a client's primary care doctor-- whether or not they had one when they first visited the clinic, and if that status has changed.",,,"Survey
Coverage",,,First Choice,,,Aggregate data only,,,,None,No,,,Low,Not applicable,,,,,,,,,Low,No,,Barbara Patterson,First Choice,,First Choice,
Providers who have received a VT Medicaid EHR Incentive Payment,Providers who have received a VT Medicaid EHR Incentive Payment,Department of Vermont Health Access (DVHA) / Blueprint for Health Program,,http://hcr.vermont.gov/sites/hcr/files/pdfs/EHRIP/2015_02_05_VT_Medicaid_EHRIP_PaymentReport.xls,Casey O'Hara,casey.ohara@vermont.gov,,MonthlyList of providers who have received a VT Medicaid EHR Incentive payment. This list is probably the most current list of providers in VT,, Medical Assistance Provider Incentive Repository - MAPIR,"Provider Information
Financial",,,First Choice,,,"Yes, record level data available",Administrators,MS Excel,,None,No,,,Low,Not applicable,,,,,,,,,Low,No,,Tim Tremblay,First Choice,,First Choice,
VCCU Client Interaction Data,VCCU Client Interaction Data,Vermont Coalition for Clinics for the Uninsured (VCCU) / ,,http://www.vccu.net/2012%20VCCU%20Annual%20Report.pdf,Lynn Raymond-Empey,vccu@comcast.net,(802) 732-8253,"This dataset is a record of work done with and for VCCU clients. It includes  medical care given, pharmacy vouchers provided, assistance in applying to insurance and social services programs, external referrals, and transport provided. This dataset is standardized across all VCCU clincs.",,,Clinical,,,First Choice,,,Aggregate data only,,,,None,No,,,Low,Not applicable,,,,,,,,,Low,No,,Barbara Patterson,First Choice,,First Choice,
VCCU Demographic Data,VCCU Demographic Data,Vermont Coalition for Clinics for the Uninsured (VCCU) / ,,http://www.vccu.net/2012%20VCCU%20Annual%20Report.pdf,Lynn Raymond-Empey,vccu@comcast.net,(802) 732-8253,"Demographic data on every patient that visits one of the VCCU clinics. This includes address, date of birth, insurance and income level, household size, monthly income, percent poverty level rating, marriage status, ethnicity, education level, whether or not care was delayed initially, gender, whether they smoke or not, the last time they received care at a medical doctor's office, and how they heard about the clinic.",,,Survey,,,First Choice,,,Aggregate data only,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,Barbara Patterson,First Choice,,First Choice,
CHAC ACO Data,CHAC ACO Data,Community Health Accountable Care / ,,Not Available,Heather Skeels,hskeels@bistatepca.org,(802) 229-0002,Aggregated clinical and claims data from participation in various ACO programs.  ,,,"Clinical
Claim",,2014,First Choice,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,Yes,,Heather Skeels,First Choice,,First Choice,
Uniform Data System - UDS,Uniform Data System - UDS,US Health Resources and Services Administration / ,,http://bphc.hrsa.gov/uds/datacenter.aspx?q=d&year=2013&state=VT#glist,,,,"Each year HRSA funded health center grantees are required to report core set of information, including data on patient demographics, services provided, clinical indicators, utilization rates, costs, and revenues. ",,,"Utilization
Services Provided
Population
Clinical
Financial",,,First Choice,,,Aggregate data only,,,,None,No,,Heather Skeels at Bi-State Primary Care Association can be contacted for questions from people in Vermont to understand the data.  Otherwise HRSA is the data steward.  ,Low,Full current documentation,,,,,,,,,Low,No,,Heather Skeels,First Choice,,First Choice,
National Healthcare Safety Network,National Healthcare Safety Network,Center for Disease Control (CDC) (Federal) / ,,http://www.cdc.gov/nhsn/,Catherine Fulton,catherinef@vpqhc.org,,"National database, sponsored by the Centers for Disease Control and Prevention (CDC) that contains information on events that occur in a hospital or long-term care facility that reflect patient safety issues",,,Clinical,,,First Choice,,,"Aggregate data only, report format",,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Steven Kappel,First Choice,,First Choice,
EBTEdge [DCF],EBTEdge [DCF],Department for Children and Families (DCF) / ,,,"DiMatteo, Richard",richard.dimatteo@state.vt.us,,"Reissue lost EBT cards, look up benefit histories and card utilization to support the Fraud Unit and Administrative Disqualifications, issue benefits as needed..  Support for the above programs.",,,Unknown,,,HP Nonstop,,,No access to data,,,,None,No,,,Low,,,,,,,,,,Low,No,,,ACCESS,,DCF-ESD,
Social Services Management Information System,Social Services Management Information System,Department for Children and Families (DCF) / ,,,Margo Bryce,margo.bryce@vermont.gov,,"Case management system; Foster Care licensing; Child Placement, Child Abuse neglect; provider management; medicaid service provision and billing; federal reporting for AFCARS and NCANDS, Foster Care PAYROLL and adoption subsidy payroll.  FSD's overall mission is keeping children safe from abuse.  SSMIS is used to keep track of child/family demographics, involvement types/levels, abuse/neglect substantiations, out-of-home placement for children in DCF custody and substitute care payments.  SSMIS is supposed to be a case management system but currently, it falls short of this expectation.",,,Youth,,,Informix,,,No access to data,,,,None,No,,,Low,Documented but not current,,,,,,,,,Low,No,,,"MMIS, ACCESS, BFIS, FSDNET, CSME, Adult/Child Abuse Register (ABC Registry), DDS Case Processing, Woodside Flow Sheet","VISION, VCJR, Defender General, Casey Family, Fostering Court Improvement","DCF-FSD, DCF-BO",
Provider Suspension DB [Access],Provider Suspension DB [Access],Department of Vermont Health Access (AHS DVHA) / ,,,"Miles, Leanne",leanne.miles@state.vt.us,,"This Microsoft Access database is used as a form generator and reporting tool to track Providers who have had payment suspensions envoked due to credible allegations of fraud..  This is the tool used to manage all providers who have had payment suspensions applied.  CMS requires us to report annually on the number of providers suspended, payments withheld, appeals, etc.  This tool also generates the form (based on information populated) that is required for Commissioner sign-off prior to suspension.",,,"Licensing
Provider Information",,,MS Access,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,,,DVHA-MPFS,
PI/SURS DB [Access],PI/SURS DB [Access],Department of Vermont Health Access (AHS DVHA) / ,,,"Miles, Leanne",leanne.miles@state.vt.us,,"This Microsoft Access database is used as the Program Integrity Case Management tool and as a basic reporting tool on case statistics, counts, recoveries and cost avoidance realized..  This is the tool used to manage all cases received for review of fraud, waste and abuse allegations.  It is used to track cases received, referred, assigned, closed, etc.  Cases are assigned to staff members, and case progress is documented here.   Queries are created to track, monitor, and report financial recoveries and cost-avoidance.",,,Financial,,,MS Access,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,,,DVHA-MPFS,
MITA SSA Database [Access],MITA SSA Database [Access],Department of Vermont Health Access (AHS DVHA) / ,,,"Kutt, Bekah",bekah.kutt@state.vt.us,,This database contains the scores and information collected for the CMS State Self-Assessment.  It should be updated annually..  Justify IT projects and financial resources to CMS,,,Services Provided,,,MS Access,,,No access to data,,,,None,No,,,Low,,,,,,,,,,Low,No,,,,,DVHA-CO,
Workers Comp,Workers Comp,"Department of Disabilities, Aging and Independent Living (DAIL) / ",,,James Smith,james.smith@vermont.gov,,"The Workers Comp database collects employment and wage data on VR consumers. VR uses this data for multiple purposes including billing for the Ticket to Work Tracker, program evaluation and benefits counseling..  Workers Comp data supports multiple VR functions including Ticket to Work billing, program evaluation, and case management.",,,"Workforce
Employment and Wages",,,MS SQL,,,No access to data,,,,None,No,,,Low,Documented but not current,,,,,,,,,Low,No,,,Benefits Counseling,,DAIL-DVR,
Social Security Database,Social Security Database,"Department of Disabilities, Aging and Independent Living (DAIL) / ",,,"Wells, Susan",susan.wells@vermont.gov,,"Provides client-specific information in the Social Security Assistance Program for program reporting, supervision and information for staff..  Maintains list of program participants and information about the status of their Social Security Disability application. Also provides data on referral source for billing purposes and program/grant reporting. Provides staff with a list of their active clients.",,,Services Provided,,,MS SQL,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,Informix RSA 911 VR,,DAIL-DVR,
Vermont Work Incentives Initiative (VWII),Vermont Work Incentives Initiative (VWII),"Department of Disabilities, Aging and Independent Living (DAIL) / ",,,"Smith, James",james.smith@state.vt.us,,The benefits counseling database is a case management system for consumers who receive Social Security Disability benefits. The benefits counselors assist beneficiaries manage their benefits as they return to work. The system includes detailed data on benefits and case management tools (such as case notes).<br />The VWII database is used by Vocational Rehabilitation Benefits Counselors to record and track information for consumers receiving benefits counseling services and maintain records of actions taken by the benefits counselors and interactions with their consumers.  The benefits counseling system supports case management and program oversight.,,,"Services Provided
Employment and Wages",,,MS SQL,,,No access to data,,,,None,No,,,Low,Documented but not current,,,,,,,,,Low,No,,,"ACCESS, Informix RSA 911 VR, Ticket to Work Reimbursement Tracker, Workers Comp",DOL Earnings,DAIL-DVR,
Youth Assessment Screening Instrument,Youth Assessment Screening Instrument,Department for Children and Families (DCF) / ,,,Lindy Boudreau,lindy.boudreau@vermont.gov,,"Assessment of youth's risk and protective factors, and risk to reoffend.  Identification of motivation and barriers to change.  Target risk areas and resources for development of case plans.  Track changes in risk and protective factors through the life of the case..  Assessment of youth's risk and protective factors, and risk to reoffend.  Identification of motivation and barriers to change.  Target risk areas and resources for development of case plans.  Track changes in risk and protective factors through the life o",,,Youth,,,MS SQL Server,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,Barbara Patterson,FSDNET,ROMRT,DCF-FSD,
FSDNET,FSDNET,Department for Children and Families (DCF) / ,,, Cindy Walcott,cindy.walcott@state.vt.us,,"Family Services Division staff statewide utilize FSDNET for two primary reasons and several secondary reasons.  Primarily, FSDNET is used to enter, screen, investigate (document) and make decisions about child abuse and neglect reports.  Last year, approximately 20000 intakes entered into the system.  Another primary use of this application is for case note documentation, including the federally required face to face contact with children in custody..  Automation of our basic child safety function by entering and screening from a central location for child abuse and neglect reports.  Automation of our case work associated with planning for children and families through case note entries.",,,"Inspection
Youth
Services Provided",,,MS SQL Server,,,No access to data,,,,None,No,,,Low,Documented but not current,,,,,,,,,Low,No,,,"ACCESS, SSMIS, BFIS, YASI, CaseWorks",,"VDH-OLH, VDH-MCH, DCF-CDD, DCF-FSD, DCF-CO",
ESD Notices,ESD Notices,Department for Children and Families (DCF) / ,,, Pam Dalley,pam.dalley@state.vt.us,,Receives and prints ESD notices that are passed from ACCESS..  Provide eligibility notices for public programs.,,,Unknown,,,MS SQL Server,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,,ACCESS,,DCF-ESD,
Bright Futures Information System,Bright Futures Information System,Department for Children and Families (DCF) / ,,,"Garbarino, Karen",karen.garbarino@state.vt.us,,"Child care registered home, License center, Licensing, Subsidy, Payroll for all the providers..  To perform normal business operations within CDD",,,"Workforce
Employment and Wages
Licensing",,,Oracle,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,,"ACCESS, SSMIS, FSDNET","VISION, ACF801, VCAS, VCIC","VDH-MCH, DCF-ESD, DCF-CDD, DCF-FSD",
Monthly Service Report Data Load,Monthly Service Report Data Load,Department of Mental Health / ,,, Jessica Whitaker,jessica.whitaker@state.vt.us,,Monthly Service Report files from DA's and SSA's are inloaded into a sql database for service utilization reports and CRT billing.  To capture services performed on our behalf by Designated Agencies and to bill Medicaid for CRT Clients,,,Financial,,,SQL Server,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,,,MSR,"DAIL-DDSD, DMH-All, VDH-ADAP",
Monthly Service Report (DDSD view),Monthly Service Report (DDSD view),"Department of Disabilities, Aging and Independent Living (DAIL) / ",,, June Bascom,june.bascom@state.vt.us,,"Consumer demographics and service data for people receiving DD services from DA/SSAs (for DMH and ADAP, it includes MH and SA recipients).  Designation review; Quality management; Data reporting",,,Population,,,SQL Server,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,,,MSR,DAIL-DDSD,
Mental Health Services,Mental Health Services,Department of Mental Health / ,,, Jessica Whitaker,jessica.whitaker@state.vt.us,,Data Repository for Adult and Child Mental Health Services.  Billing and Data Collection,,,"Services Provided
Financial",,,SQL Server,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,,"MMIS, ACCESS",DA Financials,DMH-All,
KidsWin,KidsWin,Department of Mental Health / ,,, Laurel Omland,laurel.omland@state.vt.us,,"Creates a mechanism to run an audit on waivers for kids on waivers.  Residential placement for DAIL, DCF, and DMH kids was an enhancment request that did not move forward.  To audit waivers",,,Services Provided,,,SQL Server,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,,,,DMH-CAFU,
Designated Agency Financial Load,Designated Agency Financial Load,Department of Mental Health / ,,,"Snyder, Bill",bill.snyder@state.vt.us,,Uploads financial data from the Designated Agencies.  This application provides DMH and DAIL with financial data that is used as part of the required financial monitoring of the Desingated Agencies,,,Financial,,,SQL Server,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,,,DA Financials,DMH-Fin,
TPL System,TPL System,Department of Vermont Health Access (AHS DVHA) / ,,,Debbie Austin,debbie.austin@vermont.gov,(802) 879-5900,"It is a tracking system to collect information regarding billed and collected dollars involving Medicaid recipients, as result of many functions performed in Coordination of Benefits..  TPL system  is used in our monthly reconciliation process.  A COB worker reviews TPL system billed and collected amounts and compares to amounts submitted by other worker's data and that is compared to the MMIS system (HP Financial Services) data.",,,Financial,,,SQL Server 2012,,,No access to data,,,,None,No,,,Low,Documented but not current,,,,,,,,,Low,No,,Barbara Patterson,,,DVHA-MPFS,
DVHA Check Log,DVHA Check Log,Department of Vermont Health Access (AHS DVHA) / ,,,"Walker, David",david.walker@state.vt.us,,The DVHA Check  Log is where the Business Office enters all check or money order information from checks that are received through the US Mail or from other departments..  Utilized for check scan storage but mainly for audit purposes,,,Financial,,,SQL Server 2012,,,No access to data,,,,None,No,,,Low,Documented but not current,,,,,,,,,Low,No,,,,,DVHA-MPFS,
Reach Up Case Notes [Word],Reach Up Case Notes [Word],Department for Children and Families (DCF) / ,,,"Oalican, Erin",erin.oalican@state.vt.us,,"Case notes for case management are stored on the Y drive so that multiple case managers and supervisors can access them if needed. We have no other way to store them ""online."".  Need to have case notes in a common location that is electronic",,,"Youth
Services Provided
Clinical",,,Word,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,No,,,,,DCF-ESD,
EVHA [Business Objects],,Department of Vermont Health Access (AHS DVHA) / ,,https://vtio.ovha.state.vt.us/Citrix/XenApp/auth/preLoginMessage.aspx,HP Enterprise Services,,,HP's data warehouse for Medicaid claims and payment data.  Queried by State and HP analysts via Business Objects (BOBJ) software application (and/or Citrix).  Contains 7+ years of Medicaid claims data?,,,,,,,,,No access to data,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,Yes,,Tim Tremblay,First Choice,,First Choice,
VUHDDS Research Data Set,VUHDDS Research Data Set,Green Mountain Care Board (GMCB) / ,,http://healthvermont.gov/research/hospital-utilization/VHUR_FAQS.aspx#Anchor4b,David Regan,david.regan@vermont.gov,,The VUHDDS research data set varies from the public use file because it contains records for Vermont residents receiving services in neighboring states and indirect identifiers to perform more sophisticated data analysis.,,,,,2006-2013,,,,Research data use agreement possible,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,Yes,,stacey young,First Choice,,First Choice,
MVP Provider Directory,,MVP / ,,www.mvphealthcare.com,Lou McLaren,lmclaren@mvphealthcare.com,(802) 264-6515,web-based provider directory for participating MVP providers,,,,,,,,,Data available to public with data use agreement,,,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Lou McLaren,First Choice,,First Choice,
McKesson Home Health Data,McKesson Home Health Data,VNAs of Vermont Member Agencies / ,,N/A,Arsi Namdar,namdar@vnacares.org,(802) 860-4452,"Home Health and Hospice data collected by 5 VNAs of VT member agencies. The collected data ranges from basic demographics to complete visit note information. Most of this data is not shared among the VNAs of VT agencies, with VITL, or other public health entities or other health systems.",,,,,22,,,,No access to data,,,,None,No,,,Low,No documentation,,,,,,,,,Low,Yes,,Arsi Namdar,First Choice,,First Choice,
Core Survey on Alcohol and Drug Use,,Department of Health (AHS) / ,,http://healthvermont.gov/adap/clearinghouse/documents/EpiProfileExecutiveSummary_2012March16.pdf,Amy Livingston,alivingston@pire.org,,"All 25<br />colleges accredited in Vermont were invited to participate in the survey and 11 accepted our initial<br />invitation, including the three schools with the largest enrollments. In 2010, 9 of these schools readministered<br />the Core. Figure 4 presents representative data from the survey on the past 30 days<br />consumption of any alcohol and binge drinking in aggregate for the 9 schools that participated in both<br />surveys. These data are weighted by gender, class year, and college to accurately reflect population<br />characteristics.",,,"Youth
Survey",,"1998, 2001, 2008, 2010",,,,Data available to public with data use agreement,,No Access / No Publication,,None,Yes,,,Low,Full current documentation,,,,,,,,,Low,No,,Charlie Hofmann,First Choice,,First Choice,
Basic Screening Survey (Dental),,Department of Health (AHS) / ,,http://healthvermont.gov/family/dental/documents/oral_health_survey_2013-2014.pdf,Robin Miller,robin.n.miller@vermont.gov,(802) 863-7272,"The Basic Screening Survey tools were developed by the Association of State and Territorial Dental Directors to assist state and local public health agencies monitor the burden of oral disease at a level consistent with the Healthy People objectives. The BSS tools were not designed to measure small changes in disease levels and are probably not appropriate for use in oral health research. Likewise, many of the tools used to evaluate and measure oral health in the research setting are too costly and not appropriate for oral health surveillance activities.<br />",,,Survey,,"200,220,092,013",,,,Data available to public with data use agreement,Policymakers,No Access / No Publication,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Charlie Hofmann,First Choice,,First Choice,
Counselor Licensure,Counselor Licensure,Department of Health (AHS) / Division of Alcohol and Drug Abuse Programs (ADAP),,,,,,Counselor Licensure,,,Licensing,,,,,,"Yes, record level data available",,,,None,No,,,Low,Not applicable,,,,,,,,,Low,No,,Barbara Patterson,First Choice,,First Choice,
Ladies First MMIS,Ladies First MMIS,Department of Health (AHS) / Division of Health Promotion and Disease Prevention,,,Nicole Lukas,nicole.lukas@vermont.gov,,Ladies First providers must all enroll through the Medicaid program <br />Claims processing for all services coded to Ladies First Fund Source,,,"Provider Information
Claim",,,,,,No access to data,,,,None,No,,,Low,Not applicable,,,,,,,,,Low,No,,Barbara Patterson,First Choice,,First Choice,
Ladies First Clinical Tracking,Ladies First Clinical Tracking,Department of Health (AHS) / Division of Health Promotion and Disease Prevention,,,Nicole Lukas,nicole.lukas@vermont.gov,,Clinical legacy notes on members and Care management for all participants in Ladies First and WiseWomen programs to be replaced by MED-IT,,,Clinical,,,,,,No access to data,,,,None,No,,,Low,Not applicable,,,,,,,,,Low,No,,Barbara Patterson,First Choice,,First Choice,
Ladies First Billing,Ladies First Billing,Department of Health (AHS) / Division of Health Promotion and Disease Prevention,,,Nicole Lukas,nicole.lukas@vermont.gov,,Manually paid claims tracking and confirmation of payment,,,Claim,,,,,,No access to data,,,,None,No,,,Low,Not applicable,,,,,,,,,Low,No,,Barbara Patterson,First Choice,,First Choice,
Electronic Birth Registration System (EBRS),Electronic Birth Registration System (EBRS),Department of Health (AHS) / Division of Health Surveillance,,,,,,"Hospital staff and Vital Records staff use the application to create and print birth certificates for all babies born in Vermont.  Such records can then be updated via the correction or amendment process.  In addition, information from transcripts for resident births that occur in other states is data entered by Vital Records staff into the application so that information can be used for statistical analyses.",,,Population,,,,,,No access to data,,Web Application - Restricted Access,,None,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,First Choice,,First Choice,
